LIBOR_date,LIBOR_price,OIS_date,OIS_price,Oil_date,Oil_price,US_equity_index_date,US_equity_index,US10Y_date,US10Y_yield,USD_trade_weighted_date,USD_trade_weighted_index
2/13/2003,1.34,2/12/2003,1.198,2/14/2003,36.8,2/14/2003,834.89,2/12/2003,3.9081,2/14/2003,100.96
2/14/2003,1.34,2/13/2003,1.198,2/18/2003,36.96,2/18/2003,851.17,2/13/2003,3.8769,2/18/2003,100.82
2/17/2003,1.34,2/14/2003,1.198,2/19/2003,37.16,2/19/2003,845.13,2/14/2003,3.961,2/19/2003,100.73
2/18/2003,1.34,2/17/2003,1.198,2/20/2003,36.79,2/20/2003,837.1,2/17/2003,3.9628,2/20/2003,100.47
2/19/2003,1.34,2/18/2003,1.202,2/21/2003,35.58,2/21/2003,848.17,2/18/2003,3.9494,2/21/2003,100.74
2/20/2003,1.34,2/19/2003,1.202,2/24/2003,36.48,2/24/2003,832.58,2/19/2003,3.8825,2/24/2003,100.43
2/21/2003,1.34,2/20/2003,1.207,2/25/2003,36.06,2/25/2003,838.57,2/20/2003,3.8673,2/25/2003,100.45
2/24/2003,1.34,2/21/2003,1.205,2/26/2003,37.7,2/26/2003,827.55,2/21/2003,3.8882,2/26/2003,100.38
2/25/2003,1.34,2/24/2003,1.203,2/27/2003,37.2,2/27/2003,837.28,2/24/2003,3.8445,2/27/2003,100.48
2/26/2003,1.34,2/25/2003,1.203,2/28/2003,36.6,2/28/2003,841.15,2/25/2003,3.8198,2/28/2003,100.79
2/27/2003,1.33875,2/26/2003,1.201,3/3/2003,35.88,3/3/2003,834.81,2/26/2003,3.765,3/3/2003,100.27
2/28/2003,1.34,2/27/2003,1.202,3/4/2003,36.89,3/4/2003,821.99,2/27/2003,3.7367,3/4/2003,100.24
3/3/2003,1.33875,2/28/2003,1.197,3/5/2003,36.69,3/5/2003,829.85,2/28/2003,3.6897,3/5/2003,99.94
3/4/2003,1.33063,3/3/2003,1.201,3/6/2003,37,3/6/2003,822.1,3/3/2003,3.6728,3/6/2003,99.99
3/5/2003,1.3225,3/4/2003,1.197,3/7/2003,37.78,3/7/2003,828.89,3/4/2003,3.6465,3/7/2003,99.66
3/6/2003,1.3175,3/5/2003,1.187,3/10/2003,37.27,3/10/2003,807.48,3/5/2003,3.6278,3/10/2003,99.62
3/7/2003,1.31469,3/6/2003,1.183,3/11/2003,36.72,3/11/2003,800.73,3/6/2003,3.6558,3/11/2003,99.68
3/10/2003,1.2625,3/7/2003,1.133,3/12/2003,37.83,3/12/2003,804.19,3/7/2003,3.6406,3/12/2003,99.67
3/11/2003,1.23125,3/10/2003,1.085,3/13/2003,36.01,3/13/2003,831.9,3/10/2003,3.5606,3/13/2003,100.26
3/12/2003,1.23,3/11/2003,1.095,3/14/2003,35.38,3/14/2003,833.27,3/11/2003,3.5809,3/14/2003,100.62
3/13/2003,1.25875,3/12/2003,1.109,3/17/2003,34.93,3/17/2003,862.79,3/12/2003,3.5808,3/17/2003,100.95
3/14/2003,1.27875,3/13/2003,1.146,3/18/2003,31.67,3/18/2003,866.45,3/13/2003,3.7456,3/18/2003,100.93
3/17/2003,1.26063,3/14/2003,1.144,3/19/2003,29.88,3/19/2003,874.02,3/14/2003,3.7002,3/19/2003,101.27
3/18/2003,1.27,3/17/2003,1.132,3/20/2003,28.61,3/20/2003,875.67,3/17/2003,3.8384,3/20/2003,101.13
3/19/2003,1.28625,3/18/2003,1.156,3/21/2003,26.91,3/21/2003,895.79,3/18/2003,3.9053,3/21/2003,101.54
3/20/2003,1.29,3/19/2003,1.162,3/24/2003,28.66,3/24/2003,864.23,3/19/2003,3.9843,3/24/2003,101.11
3/21/2003,1.29,3/20/2003,1.16,3/25/2003,27.97,3/25/2003,874.74,3/20/2003,3.9534,3/25/2003,100.83
3/24/2003,1.29,3/21/2003,1.182,3/26/2003,28.63,3/26/2003,869.95,3/21/2003,4.1031,3/26/2003,100.76
3/25/2003,1.29,3/24/2003,1.169,3/27/2003,30.37,3/27/2003,868.52,3/24/2003,3.9651,3/27/2003,100.67
3/26/2003,1.29,3/25/2003,1.169,3/28/2003,30.16,3/28/2003,863.5,3/25/2003,3.9419,3/28/2003,100.49
3/27/2003,1.29,3/26/2003,1.166,3/31/2003,31.04,3/31/2003,848.18,3/26/2003,3.9284,3/31/2003,100.46
3/28/2003,1.29,3/27/2003,1.152,4/1/2003,29.78,4/1/2003,858.48,3/27/2003,3.9226,4/1/2003,100.05
3/31/2003,1.27875,3/28/2003,1.141,4/2/2003,28.56,4/2/2003,880.9,3/28/2003,3.8976,4/2/2003,100.47
4/1/2003,1.2775,3/31/2003,1.126,4/3/2003,28.97,4/3/2003,876.45,3/31/2003,3.796,4/3/2003,100.57
4/2/2003,1.28,4/1/2003,1.119,4/4/2003,28.62,4/4/2003,878.85,4/1/2003,3.8095,4/4/2003,100.7
4/3/2003,1.27875,4/2/2003,1.129,4/7/2003,27.96,4/7/2003,879.93,4/2/2003,3.9285,4/7/2003,101.16
4/4/2003,1.2775,4/3/2003,1.12,4/8/2003,28,4/8/2003,878.29,4/3/2003,3.9092,4/8/2003,100.77
4/7/2003,1.29,4/4/2003,1.122,4/9/2003,28.85,4/9/2003,865.99,4/4/2003,3.9517,4/9/2003,100.7
4/8/2003,1.29,4/7/2003,1.161,4/10/2003,27.46,4/10/2003,871.58,4/7/2003,3.9769,4/10/2003,100.19
4/9/2003,1.28625,4/8/2003,1.153,4/11/2003,28.14,4/11/2003,868.3,4/8/2003,3.9324,4/11/2003,100.31
4/10/2003,1.28,4/9/2003,1.147,4/14/2003,28.63,4/14/2003,885.23,4/9/2003,3.8957,4/14/2003,100.11
4/11/2003,1.28875,4/10/2003,1.148,4/15/2003,29.29,4/15/2003,890.81,4/10/2003,3.9421,4/15/2003,100.05
4/14/2003,1.30125,4/11/2003,1.193,4/16/2003,29.18,4/16/2003,879.91,4/11/2003,3.9712,4/16/2003,99.86
4/15/2003,1.32,4/14/2003,1.205,4/17/2003,30.55,4/17/2003,893.58,4/14/2003,4.014,4/17/2003,99.54
4/16/2003,1.32938,4/15/2003,1.209,4/21/2003,30.87,4/21/2003,892.01,4/15/2003,3.9848,4/18/2003,99.56
4/17/2003,1.32,4/16/2003,1.206,4/22/2003,29.91,4/22/2003,911.37,4/16/2003,3.9382,4/21/2003,99.84
4/22/2003,1.32,4/17/2003,1.203,4/23/2003,26.65,4/23/2003,919.02,4/17/2003,3.9558,4/22/2003,99.42
4/23/2003,1.32,4/18/2003,1.204,4/24/2003,26.64,4/24/2003,911.43,4/18/2003,3.9558,4/23/2003,99.57
4/24/2003,1.32,4/21/2003,1.204,4/25/2003,26.26,4/25/2003,898.81,4/21/2003,3.9811,4/24/2003,99.22
4/25/2003,1.31125,4/22/2003,1.2,4/28/2003,25.49,4/28/2003,914.84,4/22/2003,3.9636,4/25/2003,99.32
4/28/2003,1.29875,4/23/2003,1.202,4/29/2003,25.24,4/29/2003,917.84,4/23/2003,3.9753,4/28/2003,99.32
4/29/2003,1.31,4/24/2003,1.182,4/30/2003,25.8,4/30/2003,916.92,4/24/2003,3.9189,4/29/2003,99
4/30/2003,1.31,4/25/2003,1.155,5/1/2003,26.03,5/1/2003,916.3,4/25/2003,3.888,4/30/2003,99.91
5/1/2003,1.3,4/28/2003,1.163,5/2/2003,25.67,5/2/2003,930.08,4/28/2003,3.9015,5/1/2003,97.78
5/2/2003,1.29,4/29/2003,1.172,5/5/2003,26.49,5/5/2003,926.55,4/29/2003,3.9267,5/2/2003,97.95
5/6/2003,1.29,4/30/2003,1.154,5/6/2003,25.72,5/6/2003,934.39,4/30/2003,3.8359,5/5/2003,97.58
5/7/2003,1.28,5/1/2003,1.134,5/7/2003,26.23,5/7/2003,929.62,5/1/2003,3.8397,5/6/2003,97.24
5/8/2003,1.28125,5/2/2003,1.154,5/8/2003,26.98,5/8/2003,920.27,5/2/2003,3.919,5/7/2003,96.93
5/9/2003,1.29,5/5/2003,1.16,5/9/2003,27.72,5/9/2003,933.41,5/5/2003,3.8841,5/8/2003,96.6
5/12/2003,1.29,5/6/2003,1.157,5/12/2003,27.35,5/12/2003,945.11,5/6/2003,3.7839,5/9/2003,96.53
5/13/2003,1.29,5/7/2003,1.167,5/13/2003,28.5,5/13/2003,942.3,5/7/2003,3.675,5/12/2003,96.32
5/14/2003,1.29,5/8/2003,1.171,5/14/2003,29.17,5/14/2003,939.28,5/8/2003,3.6807,5/13/2003,96.36
5/15/2003,1.29,5/9/2003,1.175,5/15/2003,28.74,5/15/2003,946.67,5/9/2003,3.6796,5/14/2003,96.14
5/16/2003,1.29,5/12/2003,1.165,5/16/2003,29.14,5/16/2003,944.3,5/12/2003,3.6419,5/15/2003,96.27
5/19/2003,1.27875,5/13/2003,1.17,5/19/2003,28.83,5/19/2003,920.77,5/13/2003,3.6025,5/16/2003,96.14
5/20/2003,1.28,5/14/2003,1.161,5/20/2003,29.28,5/20/2003,919.73,5/14/2003,3.5204,5/19/2003,95.76
5/21/2003,1.27,5/15/2003,1.163,5/21/2003,29.03,5/21/2003,923.42,5/15/2003,3.5297,5/20/2003,95.49
5/22/2003,1.28,5/16/2003,1.141,5/22/2003,28.85,5/22/2003,931.87,5/16/2003,3.4185,5/21/2003,95.56
5/23/2003,1.28,5/19/2003,1.117,5/23/2003,29.16,5/23/2003,933.22,5/19/2003,3.485,5/22/2003,95.8
5/27/2003,1.28,5/20/2003,1.081,5/27/2003,29.35,5/27/2003,951.48,5/20/2003,3.3542,5/23/2003,95.71
5/28/2003,1.28,5/21/2003,1.133,5/28/2003,28.58,5/28/2003,953.22,5/21/2003,3.3963,5/27/2003,95.75
5/29/2003,1.28,5/22/2003,1.128,5/29/2003,29.1,5/29/2003,949.64,5/22/2003,3.3138,5/28/2003,96.46
5/30/2003,1.28,5/23/2003,1.119,5/30/2003,29.56,5/30/2003,963.59,5/23/2003,3.3354,5/29/2003,96.02
6/2/2003,1.28,5/26/2003,1.12,6/2/2003,30.71,6/2/2003,967,5/26/2003,3.3317,5/30/2003,96.24
6/3/2003,1.28,5/27/2003,1.123,6/3/2003,30.67,6/3/2003,971.56,5/27/2003,3.4106,6/2/2003,95.95
6/4/2003,1.2575,5/28/2003,1.13,6/4/2003,30.05,6/4/2003,986.24,5/28/2003,3.4235,6/3/2003,96.27
6/5/2003,1.24,5/29/2003,1.104,6/5/2003,30.74,6/5/2003,990.14,5/29/2003,3.3352,6/4/2003,96.06
6/6/2003,1.20688,5/30/2003,1.109,6/6/2003,31.28,6/6/2003,987.76,5/30/2003,3.3699,6/5/2003,95.5
6/9/2003,1.2,6/2/2003,1.125,6/9/2003,31.45,6/9/2003,975.93,6/2/2003,3.4085,6/6/2003,96.18
6/10/2003,1.18,6/3/2003,1.084,6/10/2003,31.73,6/10/2003,984.84,6/3/2003,3.3293,6/9/2003,96.35
6/11/2003,1.14,6/4/2003,1.067,6/11/2003,32.36,6/11/2003,997.48,6/4/2003,3.2927,6/10/2003,96.46
6/12/2003,1.11875,6/5/2003,1.033,6/12/2003,31.51,6/12/2003,998.51,6/5/2003,3.342,6/11/2003,95.95
6/13/2003,1.0875,6/6/2003,1.035,6/13/2003,30.65,6/13/2003,988.61,6/6/2003,3.351,6/12/2003,95.8
6/16/2003,1.06,6/9/2003,0.997,6/16/2003,31.18,6/16/2003,1010.74,6/9/2003,3.2758,6/13/2003,95.51
6/17/2003,1.055,6/10/2003,0.968,6/17/2003,31.07,6/17/2003,1011.66,6/10/2003,3.1903,6/16/2003,95.38
6/18/2003,1.065,6/11/2003,0.944,6/18/2003,30.36,6/18/2003,1010.09,6/11/2003,3.2101,6/17/2003,95.48
6/19/2003,1.0275,6/12/2003,0.911,6/19/2003,29.96,6/19/2003,994.7,6/12/2003,3.163,6/18/2003,95.8
6/20/2003,1.02,6/13/2003,0.882,6/20/2003,30.82,6/20/2003,995.69,6/13/2003,3.1121,6/19/2003,95.76
6/23/2003,1.01625,6/16/2003,0.884,6/23/2003,29.17,6/23/2003,981.64,6/16/2003,3.1716,6/20/2003,96.25
6/24/2003,1.00875,6/17/2003,0.918,6/24/2003,28.78,6/24/2003,983.45,6/17/2003,3.2605,6/23/2003,96.19
6/25/2003,1,6/18/2003,0.908,6/25/2003,29.95,6/25/2003,975.32,6/18/2003,3.3614,6/24/2003,96.54
6/26/2003,1.1,6/19/2003,0.835,6/26/2003,29.01,6/26/2003,985.82,6/19/2003,3.3374,6/25/2003,95.77
6/27/2003,1.11375,6/20/2003,0.864,6/27/2003,29.27,6/27/2003,976.22,6/20/2003,3.3648,6/26/2003,96.6
6/30/2003,1.11625,6/23/2003,0.852,6/30/2003,30.19,6/30/2003,974.5,6/23/2003,3.3113,6/27/2003,96.64
7/1/2003,1.11,6/24/2003,0.843,7/1/2003,30.4,7/1/2003,982.32,6/24/2003,3.2489,6/30/2003,96.05
7/2/2003,1.11,6/25/2003,0.966,7/2/2003,30.15,7/2/2003,993.75,6/25/2003,3.4035,7/1/2003,96.28
7/3/2003,1.11,6/26/2003,0.977,7/3/2003,30.42,7/3/2003,985.7,6/26/2003,3.5416,7/2/2003,96.09
7/4/2003,1.11,6/27/2003,0.973,7/7/2003,30.13,7/7/2003,1004.42,6/27/2003,3.5415,7/3/2003,96
7/7/2003,1.11,6/30/2003,0.969,7/8/2003,30.22,7/8/2003,1007.84,6/30/2003,3.5133,7/7/2003,96.49
7/8/2003,1.11,7/1/2003,0.976,7/9/2003,30.88,7/9/2003,1002.21,7/1/2003,3.5471,7/8/2003,97.16
7/9/2003,1.11,7/2/2003,0.972,7/10/2003,31.06,7/10/2003,988.7,7/2/2003,3.5358,7/9/2003,96.96
7/10/2003,1.11,7/3/2003,0.967,7/11/2003,31.28,7/11/2003,998.14,7/3/2003,3.6607,7/10/2003,96.9
7/11/2003,1.10563,7/4/2003,0.967,7/14/2003,31.27,7/14/2003,1003.86,7/4/2003,3.6474,7/11/2003,96.97
7/14/2003,1.10313,7/7/2003,0.975,7/15/2003,31.62,7/15/2003,1000.42,7/7/2003,3.7315,7/14/2003,96.87
7/15/2003,1.1,7/8/2003,0.979,7/16/2003,31.05,7/16/2003,994,7/8/2003,3.7143,7/15/2003,97.44
7/16/2003,1.11,7/9/2003,0.975,7/17/2003,31.41,7/17/2003,981.73,7/9/2003,3.6798,7/16/2003,97.39
7/17/2003,1.11,7/10/2003,0.972,7/18/2003,31.96,7/18/2003,993.32,7/10/2003,3.655,7/17/2003,97.67
7/18/2003,1.11,7/11/2003,0.971,7/21/2003,31.78,7/21/2003,978.8,7/11/2003,3.6265,7/18/2003,97.75
7/21/2003,1.11,7/14/2003,0.97,7/22/2003,30.19,7/22/2003,988.11,7/14/2003,3.724,7/21/2003,97.47
7/22/2003,1.11,7/15/2003,0.975,7/23/2003,29.67,7/23/2003,988.61,7/15/2003,3.9807,7/22/2003,97.78
7/23/2003,1.11,7/16/2003,0.979,7/24/2003,30.22,7/24/2003,981.6,7/16/2003,3.918,7/23/2003,97.26
7/24/2003,1.11,7/17/2003,0.98,7/25/2003,30.17,7/25/2003,998.68,7/17/2003,3.92,7/24/2003,97.36
7/25/2003,1.11,7/18/2003,0.98,7/28/2003,30.11,7/28/2003,996.52,7/18/2003,3.9989,7/25/2003,96.9
7/28/2003,1.11,7/21/2003,0.983,7/29/2003,30.24,7/29/2003,989.28,7/21/2003,4.2105,7/28/2003,96.96
7/29/2003,1.11,7/22/2003,0.98,7/30/2003,30.68,7/30/2003,987.49,7/22/2003,4.1223,7/29/2003,97.11
7/30/2003,1.11625,7/23/2003,0.977,7/31/2003,30.54,7/31/2003,990.31,7/23/2003,4.1084,7/30/2003,97.65
7/31/2003,1.11438,7/24/2003,0.978,8/1/2003,32.31,8/1/2003,980.15,7/24/2003,4.1646,7/31/2003,97.12
8/1/2003,1.14125,7/25/2003,0.977,8/4/2003,31.84,8/4/2003,982.82,7/25/2003,4.175,8/1/2003,97.97
8/4/2003,1.14,7/28/2003,0.981,8/5/2003,32.22,8/5/2003,965.46,7/28/2003,4.2802,8/4/2003,97.97
8/5/2003,1.13875,7/29/2003,0.985,8/6/2003,31.7,8/6/2003,967.08,7/29/2003,4.4381,8/5/2003,98.01
8/6/2003,1.14,7/30/2003,0.992,8/7/2003,32.39,8/7/2003,974.12,7/30/2003,4.307,8/6/2003,98.04
8/7/2003,1.13688,7/31/2003,1.004,8/8/2003,32.18,8/8/2003,977.59,7/31/2003,4.4055,8/7/2003,97.56
8/8/2003,1.13,8/1/2003,1.006,8/11/2003,32.01,8/11/2003,980.59,8/1/2003,4.3834,8/8/2003,97.71
8/11/2003,1.13,8/4/2003,1.003,8/12/2003,31.92,8/12/2003,990.35,8/4/2003,4.2833,8/11/2003,97.47
8/12/2003,1.13,8/5/2003,1.007,8/13/2003,30.78,8/13/2003,984.03,8/5/2003,4.3899,8/12/2003,97.64
8/13/2003,1.13,8/6/2003,1.004,8/14/2003,31.09,8/14/2003,990.51,8/6/2003,4.2674,8/13/2003,97.71
8/14/2003,1.13,8/7/2003,1.003,8/15/2003,31.05,8/15/2003,990.67,8/7/2003,4.2168,8/14/2003,97.92
8/15/2003,1.13,8/8/2003,1.005,8/18/2003,30.89,8/18/2003,999.74,8/8/2003,4.2694,8/15/2003,97.88
8/18/2003,1.13,8/11/2003,1.008,8/19/2003,30.7,8/19/2003,1002.35,8/11/2003,4.353,8/18/2003,98.22
8/19/2003,1.13,8/12/2003,1.004,8/20/2003,30.95,8/20/2003,1000.3,8/12/2003,4.4256,8/19/2003,98.47
8/20/2003,1.13,8/13/2003,1.007,8/21/2003,31.88,8/21/2003,1003.27,8/13/2003,4.5602,8/20/2003,98.34
8/21/2003,1.13,8/14/2003,1.006,8/22/2003,31.84,8/22/2003,993.06,8/14/2003,4.4887,8/21/2003,98.69
8/22/2003,1.14,8/15/2003,1.008,8/25/2003,31.56,8/25/2003,993.71,8/15/2003,4.5285,8/22/2003,98.9
8/26/2003,1.14,8/18/2003,1.01,8/26/2003,31.95,8/26/2003,996.73,8/18/2003,4.4572,8/25/2003,98.75
8/27/2003,1.14,8/19/2003,1.0085,8/27/2003,31.21,8/27/2003,996.79,8/19/2003,4.3609,8/26/2003,98.71
8/28/2003,1.14,8/20/2003,1.007,8/28/2003,31.5,8/28/2003,1002.84,8/20/2003,4.4355,8/27/2003,98.87
8/29/2003,1.14,8/21/2003,1.011,8/29/2003,31.57,8/29/2003,1008.01,8/21/2003,4.4751,8/28/2003,98.88
9/1/2003,1.14,8/22/2003,1.016,9/2/2003,29.41,9/2/2003,1021.99,8/22/2003,4.4732,8/29/2003,98.52
9/2/2003,1.14,8/25/2003,1.017,9/3/2003,29.49,9/3/2003,1026.27,8/25/2003,4.5249,9/2/2003,98.64
9/3/2003,1.14563,8/26/2003,1.018,9/4/2003,28.98,9/4/2003,1027.97,8/26/2003,4.4733,9/3/2003,98.44
9/4/2003,1.14625,8/27/2003,1.02,9/5/2003,28.88,9/5/2003,1021.39,8/27/2003,4.5349,9/4/2003,98.21
9/5/2003,1.14219,8/28/2003,1.016,9/8/2003,28.85,9/8/2003,1031.64,8/28/2003,4.4141,9/5/2003,97.85
9/8/2003,1.14,8/29/2003,1.016,9/9/2003,29.18,9/9/2003,1023.17,8/29/2003,4.4636,9/8/2003,97.72
9/9/2003,1.14,9/1/2003,1.016,9/10/2003,29.35,9/10/2003,1010.92,9/1/2003,4.4577,9/9/2003,97.56
9/10/2003,1.14,9/2/2003,1.021,9/11/2003,28.82,9/11/2003,1016.42,9/2/2003,4.5993,9/10/2003,97.64
9/11/2003,1.14,9/3/2003,1.022,9/12/2003,28.27,9/12/2003,1018.63,9/3/2003,4.5933,9/11/2003,97.73
9/12/2003,1.14,9/4/2003,1.017,9/15/2003,28.14,9/15/2003,1014.81,9/4/2003,4.5034,9/12/2003,97.35
9/15/2003,1.14,9/5/2003,1.008,9/16/2003,27.56,9/16/2003,1029.32,9/5/2003,4.3474,9/15/2003,97.48
9/16/2003,1.14,9/8/2003,1.016,9/17/2003,27.03,9/17/2003,1025.97,9/8/2003,4.4262,9/16/2003,97.54
9/17/2003,1.14,9/9/2003,1.0115,9/18/2003,27.17,9/18/2003,1039.58,9/9/2003,4.3552,9/17/2003,97.3
9/18/2003,1.14,9/10/2003,1.014,9/19/2003,27.03,9/19/2003,1036.3,9/10/2003,4.2711,9/18/2003,97.06
9/19/2003,1.14,9/11/2003,1.016,9/22/2003,26.96,9/22/2003,1022.82,9/11/2003,4.3141,9/19/2003,96.4
9/22/2003,1.14,9/12/2003,1.014,9/23/2003,27.13,9/23/2003,1029.03,9/12/2003,4.2516,9/22/2003,95.65
9/23/2003,1.14,9/15/2003,1.016,9/24/2003,28.24,9/24/2003,1009.38,9/15/2003,4.2671,9/23/2003,95.62
9/24/2003,1.14,9/16/2003,1.016,9/25/2003,28.29,9/25/2003,1003.27,9/16/2003,4.2749,9/24/2003,95.57
9/25/2003,1.14,9/17/2003,1.015,9/26/2003,28.16,9/26/2003,996.85,9/17/2003,4.1777,9/25/2003,95.52
9/26/2003,1.14,9/18/2003,1.016,9/29/2003,28.4,9/29/2003,1006.58,9/18/2003,4.1622,9/26/2003,95.77
9/29/2003,1.16,9/19/2003,1.016,9/30/2003,29.2,9/30/2003,995.97,9/19/2003,4.1602,9/29/2003,95.58
9/30/2003,1.16,9/22/2003,1.017,10/1/2003,29.39,10/1/2003,1018.22,9/22/2003,4.2164,9/30/2003,96.95
10/1/2003,1.15,9/23/2003,1.015,10/2/2003,29.84,10/2/2003,1020.24,9/23/2003,4.2047,10/1/2003,95.11
10/2/2003,1.15,9/24/2003,1.015,10/3/2003,30.4,10/3/2003,1029.85,9/24/2003,4.1331,10/2/2003,95.11
10/3/2003,1.15,9/25/2003,1.014,10/6/2003,30.47,10/6/2003,1034.35,9/25/2003,4.081,10/3/2003,95.61
10/6/2003,1.15,9/26/2003,1.012,10/7/2003,30.41,10/7/2003,1039.25,9/26/2003,4.0005,10/6/2003,95.29
10/7/2003,1.15,9/29/2003,1.016,10/8/2003,29.81,10/8/2003,1033.78,9/29/2003,4.0751,10/7/2003,95
10/8/2003,1.15,9/30/2003,0.994,10/9/2003,31.01,10/9/2003,1038.73,9/30/2003,3.9376,10/8/2003,94.92
10/9/2003,1.15,10/1/2003,0.99,10/10/2003,31.97,10/10/2003,1038.06,10/1/2003,3.9318,10/9/2003,95.15
10/10/2003,1.15,10/2/2003,1,10/13/2003,31.95,10/13/2003,1045.35,10/2/2003,3.9926,10/10/2003,94.46
10/13/2003,1.15,10/3/2003,1.005,10/14/2003,31.82,10/14/2003,1049.48,10/3/2003,4.1987,10/14/2003,94.94
10/14/2003,1.15,10/6/2003,0.998,10/15/2003,31.77,10/15/2003,1046.76,10/6/2003,4.1695,10/15/2003,95.09
10/15/2003,1.15625,10/7/2003,1.003,10/16/2003,31.54,10/16/2003,1050.07,10/7/2003,4.2573,10/16/2003,94.95
10/16/2003,1.16,10/8/2003,1.002,10/17/2003,30.68,10/17/2003,1039.32,10/8/2003,4.2357,10/17/2003,95
10/17/2003,1.17,10/9/2003,1.005,10/20/2003,30.35,10/20/2003,1044.68,10/9/2003,4.2906,10/20/2003,95.11
10/20/2003,1.17,10/10/2003,1.004,10/21/2003,30.18,10/21/2003,1046.03,10/10/2003,4.269,10/21/2003,94.96
10/21/2003,1.17,10/13/2003,1.004,10/22/2003,29.92,10/22/2003,1030.36,10/13/2003,4.2513,10/22/2003,94.43
10/22/2003,1.17,10/14/2003,1.008,10/23/2003,30.3,10/23/2003,1033.77,10/14/2003,4.3439,10/23/2003,94.62
