	token0	token1	token2	token3	token4	token5	token6	token7	token8	token9
69	4	0	1	3	3	2	5	3	5	5
70	0	1	3	2	5	5	5	5	5	5
71	0	1	3	2	5	5	5	5	5	5
72	4	4	0	1	3	2	5	5	5	5
73	0	1	3	2	3	5	5	5	5	5
74	4	0	1	3	2	3	3	5	5	5
75	4	4	0	1	3	3	2	3	5	5
76	4	0	1	3	2	3	5	5	5	5
77	4	0	1	3	3	2	5	5	5	5
78	0	1	3	2	3	5	5	5	5	5
79	4	4	4	0	1	3	2	5	5	5
80	0	1	3	2	3	3	5	5	5	5
81	4	0	1	3	2	4	3	5	5	5
82	4	4	0	1	3	2	5	3	3	5
83	4	4	0	1	3	2	3	5	5	5
84	4	0	1	3	3	2	5	3	5	5
85	0	1	3	3	2	3	5	5	5	5
86	4	4	0	1	3	2	3	3	5	5
87	4	0	1	3	2	3	3	5	5	5
88	4	0	1	3	2	5	5	5	5	5
89	4	4	0	1	3	2	5	5	5	5
90	4	4	4	0	1	3	2	3	5	5
91	4	4	0	1	3	2	5	5	5	5
92	0	1	3	2	5	5	5	5	5	5
93	0	1	3	2	3	3	5	5	5	5
94	0	1	3	2	4	3	5	5	5	5
95	4	4	0	1	3	2	5	5	5	5
96	4	0	1	3	3	2	4	3	5	5
97	4	0	1	3	2	5	3	3	5	5
98	4	4	4	0	1	3	2	3	5	5
99	4	4	4	0	1	3	3	2	3	5
100	0	1	3	2	3	3	5	5	5	5
101	0	1	3	3	2	5	5	5	5	5
102	4	4	0	1	3	2	5	5	5	5
103	0	1	3	3	2	5	5	5	5	5
104	0	1	3	2	3	5	5	5	5	5
105	0	1	3	3	2	5	3	5	5	5
106	4	4	0	1	3	2	5	5	5	5
107	4	4	4	0	1	3	2	3	3	5
108	0	1	3	2	3	5	5	5	5	5
109	0	1	3	2	5	5	5	5	5	5
110	0	1	3	2	5	5	5	5	5	5
111	0	1	3	2	5	5	5	5	5	5
112	4	4	0	1	3	3	2	5	5	5
113	4	0	1	3	3	2	3	5	5	5
114	4	0	1	3	2	5	5	5	5	5
115	4	0	1	3	3	2	3	5	5	5
116	4	4	0	1	3	2	3	3	5	5
117	4	4	4	0	1	3	2	5	3	3
118	4	0	1	3	2	3	5	5	5	5
119	0	1	3	3	2	3	5	5	5	5
120	4	4	4	0	1	3	2	5	5	5
121	4	4	4	0	1	3	3	2	5	5
122	0	1	3	3	2	5	3	5	5	5
123	4	0	1	3	2	4	3	5	5	5
124	4	0	1	3	3	2	5	3	3	5
125	0	1	3	3	2	5	3	5	5	5
126	4	0	1	3	2	3	5	5	5	5
127	4	4	0	1	3	3	2	5	3	3
128	0	1	3	3	2	3	3	5	5	5
129	4	4	0	1	3	2	3	3	5	5
130	4	0	1	3	2	3	5	5	5	5
131	4	0	1	3	3	2	5	3	5	5
132	0	1	3	2	3	3	5	5	5	5
133	0	1	3	2	5	3	3	5	5	5
134	0	1	3	2	3	5	5	5	5	5
135	4	0	1	3	3	2	3	5	5	5
136	4	4	0	1	3	2	5	5	5	5
137	4	0	1	3	3	2	5	3	3	5
138	0	1	3	2	3	5	5	5	5	5
139	4	0	1	3	2	5	5	5	5	5
140	4	4	4	0	1	3	3	2	4	3
141	0	1	3	3	2	4	3	5	5	5
142	4	4	4	0	1	3	2	3	5	5
143	0	1	3	3	2	3	5	5	5	5
144	0	1	3	2	5	3	5	5	5	5
145	4	0	1	3	3	2	5	3	5	5
146	4	0	1	3	2	5	3	3	5	5
147	4	0	1	3	3	2	3	5	5	5
148	4	0	1	3	3	2	4	3	5	5
149	4	4	0	1	3	2	5	3	5	5
150	4	4	4	0	1	3	2	5	3	5
151	4	0	1	3	2	3	5	5	5	5
152	4	0	1	3	2	5	5	5	5	5
153	0	1	3	3	2	3	5	5	5	5
154	4	0	1	3	2	3	5	5	5	5
155	4	4	0	1	3	2	4	3	5	5
156	0	1	3	2	5	3	5	5	5	5
157	0	1	3	3	2	3	5	5	5	5
158	4	0	1	3	3	2	3	5	5	5
159	4	0	1	3	3	2	5	5	5	5
160	0	1	3	2	3	5	5	5	5	5
161	0	1	3	2	5	5	5	5	5	5
162	4	4	0	1	3	3	2	4	3	5
163	4	0	1	3	3	2	5	5	5	5
164	4	4	0	1	3	3	2	5	3	3
165	4	4	0	1	3	3	2	3	3	5
166	4	4	0	1	3	3	2	3	5	5
167	4	4	0	1	3	3	2	5	5	5
168	4	4	0	1	3	3	2	5	5	5
169	0	1	3	3	2	3	5	5	5	5
170	0	1	3	2	3	3	5	5	5	5
171	4	4	4	0	1	3	2	5	5	5
172	4	0	1	3	2	5	5	5	5	5
173	4	4	0	1	3	2	4	3	5	5
174	4	0	1	3	3	2	3	5	5	5
175	4	4	4	0	1	3	2	5	3	3
176	4	4	4	0	1	3	2	3	5	5
177	0	1	3	2	3	5	5	5	5	5
178	4	0	1	3	2	5	3	3	5	5
179	4	0	1	3	2	3	5	5	5	5
180	4	0	1	3	2	3	5	5	5	5
181	0	1	3	2	5	5	5	5	5	5
182	0	1	3	2	3	5	5	5	5	5
183	0	1	3	2	4	3	5	5	5	5
184	4	0	1	3	2	5	3	5	5	5
185	4	0	1	3	3	2	5	3	3	5
186	4	0	1	3	3	2	3	5	5	5
187	0	1	3	2	3	5	5	5	5	5
188	4	4	0	1	3	2	5	3	3	5
189	0	1	3	2	5	3	3	5	5	5
190	4	0	1	3	3	2	5	5	5	5
191	4	0	1	3	3	2	3	3	5	5
192	4	4	0	1	3	3	2	5	5	5
193	4	4	0	1	3	2	5	5	5	5
194	4	4	0	1	3	3	2	3	5	5
195	0	1	3	3	2	3	3	5	5	5
196	0	1	3	3	2	3	3	5	5	5
197	4	4	0	1	3	3	2	3	5	5
198	4	0	1	3	2	5	5	5	5	5
199	4	4	0	1	3	3	2	3	3	5
200	4	0	1	3	2	5	5	5	5	5
201	0	1	3	2	3	5	5	5	5	5
202	4	4	0	1	3	3	2	3	5	5
203	4	0	1	3	3	2	5	5	5	5
204	4	4	0	1	3	3	2	5	5	5
205	0	1	3	2	3	5	5	5	5	5
206	4	0	1	3	3	2	3	5	5	5
207	4	4	4	0	1	3	2	4	3	5
208	0	1	3	2	3	3	5	5	5	5
209	0	1	3	3	2	3	3	5	5	5
210	4	4	0	1	3	2	3	3	5	5
211	0	1	3	2	3	5	5	5	5	5
212	0	1	3	3	2	4	3	5	5	5
213	0	1	3	2	5	5	5	5	5	5
214	0	1	3	2	5	5	5	5	5	5
215	4	4	4	0	1	3	3	2	5	5
216	4	0	1	3	3	2	5	5	5	5
217	0	1	3	2	3	3	5	5	5	5
218	0	1	3	2	3	5	5	5	5	5
219	0	1	3	2	5	5	5	5	5	5
220	4	4	0	1	3	3	2	5	3	5
221	0	1	3	2	3	5	5	5	5	5
222	4	4	4	0	1	3	2	5	3	3
223	0	1	3	2	3	5	5	5	5	5
224	4	0	1	3	3	2	3	3	5	5
225	4	0	1	3	2	4	3	5	5	5
226	4	0	1	3	2	3	3	5	5	5
227	0	1	3	2	5	5	5	5	5	5
228	4	4	4	0	1	3	3	2	5	5
229	0	1	3	3	2	3	5	5	5	5
230	4	4	4	0	1	3	3	2	5	5
231	0	1	3	2	3	3	5	5	5	5
232	4	4	0	1	3	2	3	3	5	5
233	4	4	0	1	3	2	5	3	3	5
234	4	0	1	3	3	2	3	3	5	5
235	4	0	1	3	2	3	5	5	5	5
236	4	4	4	0	1	3	3	2	5	3
237	4	4	0	1	3	3	2	3	3	5
238	0	1	3	3	2	3	5	5	5	5
239	0	1	3	2	3	5	5	5	5	5
240	4	4	0	1	3	2	3	3	5	5
241	4	0	1	3	3	2	3	3	5	5
242	4	0	1	3	3	2	3	3	5	5
243	4	4	0	1	3	2	3	5	5	5
244	4	0	1	3	3	2	5	3	3	5
245	4	4	0	1	3	2	3	5	5	5
246	0	1	3	2	3	5	5	5	5	5
247	4	4	0	1	3	2	5	3	5	5
248	4	4	0	1	3	2	4	3	5	5
249	4	0	1	3	3	2	3	5	5	5
250	0	1	3	2	3	5	5	5	5	5
251	0	1	3	2	5	3	3	5	5	5
252	4	4	0	1	3	2	5	5	5	5
253	4	4	0	1	3	3	2	4	3	5
254	4	0	1	3	3	2	5	5	5	5
255	4	4	0	1	3	3	2	5	5	5
256	4	0	1	3	3	2	5	5	5	5
257	4	0	1	3	2	5	3	3	5	5
258	4	4	0	1	3	2	3	5	5	5
259	4	4	0	1	3	2	3	5	5	5
260	4	0	1	3	2	3	5	5	5	5
261	4	0	1	3	2	5	3	5	5	5
262	4	0	1	3	2	5	3	5	5	5
263	4	4	4	0	1	3	2	3	5	5
264	4	4	0	1	3	2	5	3	3	5
265	4	0	1	3	2	3	5	5	5	5
266	4	0	1	3	2	5	5	5	5	5
267	0	1	3	3	2	4	3	5	5	5
268	0	1	3	2	3	5	5	5	5	5
269	4	4	0	1	3	3	2	3	3	5
270	4	4	4	0	1	3	3	2	3	3
271	4	4	4	0	1	3	3	2	3	3
272	0	1	3	3	2	5	5	5	5	5
273	4	0	1	3	3	2	4	3	5	5
274	4	4	0	1	3	2	5	5	5	5
275	0	1	3	3	2	5	5	5	5	5
276	4	4	4	0	1	3	2	3	5	5
277	4	4	4	0	1	3	2	5	5	5
278	0	1	3	3	2	4	3	5	5	5
279	4	4	4	0	1	3	2	3	5	5
280	4	4	0	1	3	3	2	5	5	5
281	4	4	0	1	3	3	2	5	5	5
282	4	4	0	1	3	3	2	3	3	5
283	0	1	3	2	5	3	3	5	5	5
284	4	4	0	1	3	2	3	3	5	5
285	4	4	0	1	3	3	2	3	3	5
286	0	1	3	3	2	3	5	5	5	5
287	0	1	3	3	2	3	5	5	5	5
288	4	0	1	3	2	5	3	5	5	5
289	4	4	0	1	3	3	2	3	5	5
290	0	1	3	2	5	5	5	5	5	5
291	4	4	4	0	1	3	2	5	3	3
292	0	1	3	3	2	4	3	5	5	5
293	4	0	1	3	2	4	3	5	5	5
294	4	0	1	3	2	3	5	5	5	5
295	4	0	1	3	2	3	5	5	5	5
296	4	4	0	1	3	3	2	5	3	5
297	4	4	0	1	3	2	3	5	5	5
298	4	0	1	3	3	2	5	3	3	5
299	4	0	1	3	3	2	3	3	5	5
300	4	0	1	3	3	2	3	5	5	5
301	4	0	1	3	3	2	5	5	5	5
302	0	1	3	3	2	5	3	3	5	5
303	4	4	0	1	3	2	3	5	5	5
304	4	0	1	3	3	2	5	5	5	5
305	4	4	0	1	3	2	4	3	5	5
306	4	0	1	3	3	2	5	5	5	5
307	0	1	3	2	3	5	5	5	5	5
308	4	0	1	3	2	5	3	3	5	5
309	4	4	4	0	1	3	2	3	5	5
310	0	1	3	3	2	3	3	5	5	5
311	0	1	3	3	2	3	5	5	5	5
312	4	4	0	1	3	2	3	5	5	5
313	0	1	3	3	2	3	5	5	5	5
314	4	4	0	1	3	2	3	5	5	5
315	4	4	0	1	3	3	2	4	3	5
316	4	4	0	1	3	2	3	5	5	5
317	4	4	4	0	1	3	3	2	5	3
318	0	1	3	2	3	3	5	5	5	5
319	0	1	3	3	2	4	3	5	5	5
320	4	0	1	3	3	2	5	3	3	5
321	0	1	3	3	2	5	3	3	5	5
322	0	1	3	3	2	3	5	5	5	5
323	4	0	1	3	2	5	3	5	5	5
324	4	4	4	0	1	3	2	4	3	5
325	0	1	3	2	5	3	5	5	5	5
326	4	4	4	0	1	3	2	3	3	5
327	4	4	0	1	3	3	2	3	5	5
328	4	0	1	3	2	5	3	5	5	5
329	4	4	0	1	3	3	2	5	3	3
330	4	0	1	3	2	5	3	5	5	5
331	0	1	3	2	4	3	5	5	5	5
332	4	0	1	3	3	2	5	5	5	5
333	4	4	0	1	3	2	5	5	5	5
334	4	4	4	0	1	3	3	2	4	3
335	0	1	3	3	2	3	3	5	5	5
336	4	0	1	3	3	2	5	5	5	5
337	4	4	0	1	3	3	2	5	5	5
338	0	1	3	2	5	5	5	5	5	5
339	4	4	0	1	3	2	5	5	5	5
340	4	4	4	0	1	3	3	2	3	5
341	4	4	0	1	3	3	2	3	5	5
342	0	1	3	2	5	5	5	5	5	5
343	0	1	3	2	3	5	5	5	5	5
344	4	0	1	3	2	3	5	5	5	5
345	0	1	3	2	3	5	5	5	5	5
346	0	1	3	2	5	3	3	5	5	5
347	4	4	0	1	3	2	3	5	5	5
348	0	1	3	3	2	5	3	3	5	5
349	4	4	0	1	3	2	3	5	5	5
350	0	1	3	2	3	3	5	5	5	5
351	4	4	4	0	1	3	3	2	5	3
352	4	4	0	1	3	2	5	3	3	5
353	4	0	1	3	3	2	3	3	5	5
354	0	1	3	3	2	5	5	5	5	5
355	4	0	1	3	3	2	3	5	5	5
356	4	4	0	1	3	2	5	5	5	5
357	4	0	1	3	2	3	3	5	5	5
358	4	4	0	1	3	3	2	3	3	5
359	0	1	3	3	2	3	5	5	5	5
360	0	1	3	2	5	5	5	5	5	5
361	4	0	1	3	2	3	3	5	5	5
362	4	4	4	0	1	3	2	3	3	5
363	4	4	4	0	1	3	3	2	5	3
364	0	1	3	2	4	3	5	5	5	5
365	4	0	1	3	3	2	5	5	5	5
366	0	1	3	3	2	5	5	5	5	5
367	4	0	1	3	2	3	5	5	5	5
368	0	1	3	2	3	5	5	5	5	5
369	4	0	1	3	3	2	3	3	5	5
370	4	0	1	3	3	2	3	5	5	5
371	4	4	0	1	3	3	2	5	5	5
372	4	0	1	3	3	2	3	3	5	5
373	4	4	0	1	3	3	2	5	5	5
374	4	4	4	0	1	3	2	3	3	5
375	0	1	3	3	2	3	5	5	5	5
376	4	4	4	0	1	3	3	2	5	5
377	4	0	1	3	2	3	3	5	5	5
378	4	4	4	0	1	3	3	2	5	5
379	4	0	1	3	3	2	3	5	5	5
380	4	4	0	1	3	3	2	5	3	5
381	0	1	3	3	2	3	5	5	5	5
382	4	4	4	0	1	3	2	3	5	5
383	0	1	3	3	2	5	5	5	5	5
384	0	1	3	3	2	3	5	5	5	5
385	0	1	3	2	3	5	5	5	5	5
386	4	0	1	3	2	5	5	5	5	5
387	4	4	0	1	3	3	2	5	5	5
388	0	1	3	2	5	5	5	5	5	5
389	4	4	0	1	3	3	2	5	5	5
390	4	4	4	0	1	3	3	2	3	5
391	0	1	3	3	2	3	3	5	5	5
392	4	0	1	3	3	2	3	3	5	5
393	0	1	3	3	2	5	5	5	5	5
394	4	4	0	1	3	3	2	3	5	5
395	4	4	0	1	3	2	3	5	5	5
396	0	1	3	2	3	5	5	5	5	5
397	4	0	1	3	3	2	5	3	5	5
398	4	4	0	1	3	2	3	5	5	5
399	0	1	3	3	2	3	5	5	5	5
400	0	1	3	3	2	3	5	5	5	5
401	4	0	1	3	3	2	3	3	5	5
402	4	0	1	3	2	5	3	3	5	5
403	4	0	1	3	2	5	5	5	5	5
404	4	0	1	3	3	2	5	5	5	5
405	4	0	1	3	2	5	5	5	5	5
406	0	1	3	3	2	3	5	5	5	5
407	4	0	1	3	2	5	5	5	5	5
408	0	1	3	3	2	5	3	5	5	5
409	0	1	3	2	3	3	5	5	5	5
410	0	1	3	3	2	3	3	5	5	5
411	4	4	4	0	1	3	3	2	3	5
412	0	1	3	3	2	3	5	5	5	5
413	4	4	4	0	1	3	2	3	3	5
414	0	1	3	3	2	3	5	5	5	5
415	4	4	0	1	3	3	2	5	3	3
416	4	4	4	0	1	3	2	5	3	3
417	4	4	4	0	1	3	3	2	5	5
418	4	4	0	1	3	2	3	3	5	5
419	4	0	1	3	2	5	5	5	5	5
420	4	0	1	3	3	2	5	5	5	5
421	4	0	1	3	3	2	3	5	5	5
422	4	4	4	0	1	3	2	3	3	5
423	4	4	0	1	3	3	2	5	5	5
424	0	1	3	3	2	5	5	5	5	5
425	4	0	1	3	2	5	3	3	5	5
426	0	1	3	3	2	3	3	5	5	5
427	4	0	1	3	3	2	5	3	5	5
428	0	1	3	3	2	3	5	5	5	5
429	4	4	0	1	3	2	3	5	5	5
430	0	1	3	2	5	5	5	5	5	5
431	0	1	3	3	2	3	3	5	5	5
432	4	0	1	3	2	3	3	5	5	5
433	4	4	0	1	3	3	2	3	5	5
434	4	0	1	3	3	2	3	5	5	5
435	0	1	3	3	2	3	5	5	5	5
436	4	4	4	0	1	3	3	2	5	5
437	4	0	1	3	2	3	5	5	5	5
438	4	0	1	3	2	5	3	3	5	5
439	4	4	0	1	3	3	2	3	5	5
440	4	4	0	1	3	2	5	5	5	5
441	4	0	1	3	2	3	5	5	5	5
442	4	0	1	3	2	4	3	5	5	5
443	0	1	3	3	2	3	5	5	5	5
444	4	4	0	1	3	3	2	5	3	3
445	4	4	4	0	1	3	2	5	3	5
446	0	1	3	2	3	5	5	5	5	5
447	4	4	0	1	3	2	5	5	5	5
448	4	0	1	3	2	4	3	5	5	5
449	0	1	3	3	2	3	5	5	5	5
450	0	1	3	3	2	3	3	5	5	5
451	0	1	3	2	4	3	5	5	5	5
452	4	4	0	1	3	2	3	5	5	5
453	0	1	3	3	2	5	3	5	5	5
454	4	0	1	3	3	2	5	5	5	5
455	4	4	4	0	1	3	2	5	5	5
456	4	4	0	1	3	2	3	5	5	5
457	4	4	4	0	1	3	2	3	3	5
458	0	1	3	2	5	5	5	5	5	5
459	4	0	1	3	2	5	3	3	5	5
460	4	4	0	1	3	2	5	5	5	5
461	0	1	3	3	2	5	5	5	5	5
462	4	0	1	3	3	2	5	3	5	5
463	4	4	0	1	3	3	2	5	3	5
464	0	1	3	2	3	3	5	5	5	5
465	4	4	0	1	3	2	3	5	5	5
466	0	1	3	2	3	5	5	5	5	5
467	4	4	4	0	1	3	3	2	3	3
468	0	1	3	2	5	5	5	5	5	5
469	4	4	4	0	1	3	2	3	5	5
470	0	1	3	2	5	5	5	5	5	5
471	0	1	3	2	3	3	5	5	5	5
472	0	1	3	3	2	5	5	5	5	5
473	4	4	0	1	3	3	2	5	3	5
474	0	1	3	3	2	3	5	5	5	5
475	0	1	3	2	3	5	5	5	5	5
476	4	4	0	1	3	3	2	4	3	5
477	4	4	4	0	1	3	2	5	5	5
478	4	4	0	1	3	2	5	5	5	5
479	0	1	3	2	5	5	5	5	5	5
480	4	0	1	3	3	2	3	3	5	5
481	4	4	0	1	3	2	3	5	5	5
482	0	1	3	3	2	3	3	5	5	5
483	0	1	3	3	2	3	5	5	5	5
484	0	1	3	2	3	3	5	5	5	5
485	0	1	3	2	5	5	5	5	5	5
486	4	4	0	1	3	3	2	3	5	5
487	0	1	3	3	2	4	3	5	5	5
488	4	4	0	1	3	2	3	3	5	5
489	4	0	1	3	3	2	3	5	5	5
490	0	1	3	2	5	3	3	5	5	5
491	4	4	4	0	1	3	3	2	3	5
492	4	0	1	3	3	2	4	3	5	5
493	4	0	1	3	2	5	3	5	5	5
494	0	1	3	3	2	3	3	5	5	5
495	0	1	3	3	2	4	3	5	5	5
496	0	1	3	2	5	5	5	5	5	5
497	0	1	3	3	2	3	3	5	5	5
498	4	4	0	1	3	3	2	4	3	5
499	0	1	3	2	3	3	5	5	5	5
500	4	0	1	3	2	4	3	5	5	5
501	4	4	4	0	1	3	3	2	4	3
502	0	1	3	3	2	5	3	5	5	5
503	0	1	3	2	5	5	5	5	5	5
504	0	1	3	2	3	3	5	5	5	5
505	0	1	3	2	4	3	5	5	5	5
506	0	1	3	3	2	5	5	5	5	5
507	4	4	0	1	3	2	3	3	5	5
508	0	1	3	3	2	3	3	5	5	5
509	4	4	0	1	3	3	2	3	5	5
510	0	1	3	2	3	5	5	5	5	5
511	4	4	0	1	3	3	2	3	5	5
512	0	1	3	3	2	3	5	5	5	5
513	4	4	0	1	3	3	2	3	3	5
514	0	1	3	3	2	4	3	5	5	5
515	4	0	1	3	2	5	3	3	5	5
516	4	4	0	1	3	3	2	5	5	5
517	0	1	3	3	2	5	3	5	5	5
518	0	1	3	3	2	3	5	5	5	5
519	0	1	3	2	5	5	5	5	5	5
520	0	1	3	3	2	3	5	5	5	5
521	0	1	3	3	2	3	5	5	5	5
522	4	4	4	0	1	3	2	3	5	5
523	4	0	1	3	2	5	5	5	5	5
524	4	0	1	3	2	3	5	5	5	5
525	4	0	1	3	3	2	5	5	5	5
526	0	1	3	2	5	3	3	5	5	5
527	4	4	0	1	3	3	2	3	5	5
528	0	1	3	3	2	3	5	5	5	5
529	0	1	3	3	2	5	5	5	5	5
530	4	4	4	0	1	3	3	2	5	5
531	4	0	1	3	2	3	5	5	5	5
532	4	0	1	3	2	4	3	5	5	5
533	4	0	1	3	3	2	5	5	5	5
534	4	0	1	3	3	2	5	3	5	5
535	0	1	3	3	2	4	3	5	5	5
536	0	1	3	2	5	3	3	5	5	5
537	4	0	1	3	3	2	5	5	5	5
538	4	4	4	0	1	3	2	3	3	5
539	0	1	3	2	5	5	5	5	5	5
540	0	1	3	2	5	5	5	5	5	5
541	4	4	4	0	1	3	2	5	5	5
542	4	0	1	3	2	5	5	5	5	5
543	0	1	3	3	2	5	5	5	5	5
544	0	1	3	3	2	3	3	5	5	5
545	4	0	1	3	2	3	3	5	5	5
546	0	1	3	2	3	3	5	5	5	5
547	0	1	3	3	2	5	5	5	5	5
548	0	1	3	3	2	5	3	3	5	5
549	0	1	3	3	2	5	5	5	5	5
550	4	4	0	1	3	3	2	3	3	5
551	4	4	4	0	1	3	3	2	3	5
552	4	4	4	0	1	3	2	3	5	5
553	0	1	3	3	2	3	5	5	5	5
554	4	0	1	3	3	2	4	3	5	5
555	4	0	1	3	3	2	3	5	5	5
556	4	0	1	3	2	3	3	5	5	5
557	4	0	1	3	2	3	3	5	5	5
558	4	4	0	1	3	3	2	3	5	5
559	4	0	1	3	3	2	3	5	5	5
560	4	4	0	1	3	3	2	5	3	3
561	0	1	3	3	2	3	5	5	5	5
562	4	0	1	3	3	2	5	3	3	5
563	4	0	1	3	3	2	4	3	5	5
564	4	0	1	3	2	3	5	5	5	5
565	4	4	4	0	1	3	3	2	5	3
566	4	4	0	1	3	2	5	5	5	5
567	0	1	3	3	2	3	5	5	5	5
568	4	0	1	3	2	5	5	5	5	5
569	4	4	0	1	3	2	3	5	5	5
570	4	4	0	1	3	2	3	3	5	5
571	4	4	4	0	1	3	3	2	3	5
572	0	1	3	2	5	5	5	5	5	5
573	0	1	3	3	2	5	5	5	5	5
574	4	4	0	1	3	2	3	3	5	5
575	0	1	3	2	5	3	3	5	5	5
576	4	4	4	0	1	3	2	5	5	5
577	4	4	0	1	3	3	2	3	5	5
578	0	1	3	3	2	3	5	5	5	5
579	0	1	3	2	3	5	5	5	5	5
580	0	1	3	3	2	5	5	5	5	5
581	4	0	1	3	2	5	3	3	5	5
582	0	1	3	2	3	5	5	5	5	5
583	4	4	4	0	1	3	3	2	3	5
584	4	4	0	1	3	3	2	3	5	5
585	0	1	3	3	2	5	5	5	5	5
586	0	1	3	2	3	5	5	5	5	5
587	4	0	1	3	3	2	4	3	5	5
588	4	4	0	1	3	2	3	5	5	5
589	4	0	1	3	2	5	3	5	5	5
590	4	0	1	3	3	2	5	5	5	5
591	4	0	1	3	2	4	3	5	5	5
592	4	4	0	1	3	2	3	5	5	5
593	0	1	3	2	3	5	5	5	5	5
594	4	0	1	3	2	5	3	3	5	5
595	4	0	1	3	2	3	5	5	5	5
596	4	0	1	3	2	5	5	5	5	5
597	4	0	1	3	2	5	3	3	5	5
598	0	1	3	3	2	5	5	5	5	5
599	4	0	1	3	2	3	5	5	5	5
600	4	0	1	3	3	2	3	3	5	5
601	4	4	0	1	3	2	5	3	3	5
602	4	0	1	3	2	3	3	5	5	5
603	4	4	0	1	3	3	2	3	5	5
604	4	0	1	3	2	3	5	5	5	5
605	4	0	1	3	2	4	3	5	5	5
606	4	4	0	1	3	2	3	5	5	5
607	4	4	0	1	3	3	2	5	3	5
608	0	1	3	2	4	3	5	5	5	5
609	0	1	3	3	2	3	5	5	5	5
610	4	0	1	3	2	4	3	5	5	5
611	0	1	3	3	2	3	5	5	5	5
612	4	4	4	0	1	3	3	2	3	5
613	4	4	4	0	1	3	3	2	5	3
614	0	1	3	2	3	3	5	5	5	5
615	4	4	0	1	3	2	5	3	3	5
616	4	4	4	0	1	3	2	3	5	5
617	0	1	3	3	2	5	5	5	5	5
618	0	1	3	2	3	3	5	5	5	5
619	4	4	0	1	3	2	3	5	5	5
620	4	0	1	3	2	3	5	5	5	5
621	4	0	1	3	2	5	3	3	5	5
622	0	1	3	3	2	5	5	5	5	5
623	4	4	0	1	3	2	3	5	5	5
624	0	1	3	2	5	3	5	5	5	5
625	0	1	3	2	5	3	5	5	5	5
626	4	4	4	0	1	3	2	5	3	5
627	0	1	3	3	2	5	5	5	5	5
628	4	4	4	0	1	3	3	2	3	3
629	0	1	3	2	5	5	5	5	5	5
630	4	4	0	1	3	2	3	5	5	5
631	4	4	4	0	1	3	3	2	4	3
632	4	4	0	1	3	3	2	5	3	3
