,PIDN,pH,ELEV,REF2,BSAN,LSTN,Infrared01,Infrared02,Infrared03,Infrared04,Infrared05
60,se9354oU,-0.66172370420408,0.693318486213684,-0.682745814323425,-0.782608687877655,-0.4616958200931551,0.44696,0.044194999999999984,1.71973,1.69268,1.80912
61,3QinhL7T,-0.605606634904235,0.693318486213684,-0.682745814323425,-0.782608687877655,-0.4616958200931551,0.430489,0.04580499999999993,1.672851,1.67619,1.76511
62,hFLX4v90,0.19873802506021898,0.7222717404365541,-0.6317254304885861,-0.768115937709808,-0.38968175649642894,0.35825500000000005,0.048984999999999945,1.5964150000000001,1.6038700000000001,1.55574
63,GefKARhl,0.0490925069272974,0.7222717404365541,-0.6317254304885861,-0.768115937709808,-0.38968175649642894,0.345597,0.06030199999999997,1.741023,1.6730900000000002,1.67925
64,XRu72iDA,0.413853457376294,-1.2688195705413798,0.0166975874453783,0.123188406229019,0.955784678459167,0.217662,0.10645299999999999,1.448138,1.7764400000000002,1.4300899999999999
65,3Eoh7UjL,0.853437166891751,-1.2688195705413798,0.0166975874453783,0.123188406229019,0.955784678459167,0.21562800000000001,0.147541,1.5925120000000001,1.7825799999999998,1.50944
66,sBU38p8u,0.600910355042446,-1.2665923833847,0.0148423006758094,0.152173906564713,0.9794792532920841,0.190977,0.134471,1.636553,1.7595599999999998,1.5023
67,JQfU2S7q,0.282913629009987,-1.2665923833847,0.0148423006758094,0.152173906564713,0.9794792532920841,0.178946,0.14641500000000002,1.659804,1.7409700000000001,1.51691
68,cUQZTOGv,0.19873802506021898,-1.25100219249725,-0.246753245592117,-0.144927531480789,1.09719216823578,0.24610300000000002,0.07671499999999998,1.349727,1.8058,1.37391
69,WBjw89w1,-0.278257063988468,-1.25100219249725,-0.246753245592117,-0.144927531480789,1.09719216823578,0.222998,0.11133299999999999,1.4710420000000002,1.7814900000000002,1.4009200000000002
70,XaNOwwXo,1.41460785989021,-1.24877500534058,-0.20222634077072102,-0.13768115639686598,1.0035148859024001,0.234623,0.12065000000000001,1.625677,1.7562099999999998,1.4703600000000001
71,1cOjmcia,1.43331354965682,-1.24877500534058,-0.20222634077072102,-0.13768115639686598,1.0035148859024001,0.255867,0.102246,1.4727329999999998,1.7472599999999998,1.40182
72,HM7k3HGH,-0.24084568445523802,-1.27327394485474,-0.193877547979355,-0.11594203114509599,0.889058530330658,0.30985999999999997,0.12603799999999998,1.56182,1.86563,1.70215
73,otSmnBCJ,-0.00702456237254781,-1.27327394485474,-0.193877547979355,-0.11594203114509599,0.889058530330658,0.307559,0.13476999999999995,1.584861,1.8562599999999998,1.6843299999999999
74,kW9QGfqt,0.180032335293604,-1.2688195705413798,0.24489796161651603,0.217391297221184,0.940923929214478,0.213396,0.10795000000000002,1.4584440000000003,1.75655,1.3467799999999999
75,1pA0AhKG,-0.23149283957192998,-1.2688195705413798,0.24489796161651603,0.217391297221184,0.940923929214478,0.22822800000000001,0.128891,1.671042,1.73827,1.48793
76,Z2akaIJ5,0.7412030282920601,-1.2331848144531201,-0.16048237681388902,0.0507246367633343,1.1853384971618701,0.24825,0.08133500000000002,1.36831,1.6681099999999998,1.3824299999999998
77,Sg6Wk10S,0.8627900117750591,-1.2331848144531201,-0.16048237681388902,0.0507246367633343,1.1853384971618701,0.18550899999999998,0.10088999999999998,1.566191,1.5882100000000001,1.42444
78,iXZWfFoE,0.5915575101591379,-1.22873055934906,-0.27365490794181796,0.028985507786273998,1.23273277282715,0.261162,0.07941899999999996,1.4149479999999999,1.7586099999999998,1.39791
79,myouOAvc,1.29302087640721,-1.22873055934906,-0.27365490794181796,0.028985507786273998,1.23273277282715,0.234389,0.11851600000000004,1.5936709999999998,1.76354,1.44581
80,uiK0I0Yg,1.48943061895667,-1.27327394485474,0.127087205648422,0.0217391308397055,1.05728769302368,0.27387,0.11593399999999998,1.4802399999999998,1.68415,1.37516
81,uzE4DUR4,1.65778182685621,-1.27327394485474,0.127087205648422,0.0217391308397055,1.05728769302368,0.280652,0.12329699999999999,1.5250880000000002,1.58045,1.34693
82,fEXswzBC,-0.998426120003154,-1.25991094112396,0.172541737556458,0.19565217196941398,1.0877742767334,0.24648,0.097351,1.5608299999999997,1.7836,1.42228
83,KwGvwBFL,-1.3444813806855402,-1.25991094112396,0.172541737556458,0.19565217196941398,1.0877742767334,0.219058,0.12129599999999999,1.702962,1.7707,1.4892299999999998
84,HkSzhOjg,1.07790544409113,-1.2331848144531201,0.00371057516895235,0.16666667163372,1.2322313785553,0.216444,0.09187399999999998,1.3478059999999998,1.7154599999999998,1.406
85,LCSQEN4y,1.55490053313982,-1.2331848144531201,0.00371057516895235,0.16666667163372,1.2322313785553,0.209548,0.12932100000000002,1.643972,1.68703,1.53092
86,CDZLZCVG,0.376442077843064,-1.2331848144531201,0.0009276437922380859,0.181159421801567,1.22208988666534,0.251415,0.06467,1.320705,1.7743799999999998,1.3881700000000001
87,fX0hrvmH,0.600910355042446,-1.2331848144531201,0.0009276437922380859,0.181159421801567,1.22208988666534,0.209889,0.10520599999999997,1.6056510000000002,1.72433,1.42972
88,suN3iLFD,-0.45596111677131296,-1.25768375396729,0.161410018801689,0.144927531480789,1.1523449420928997,0.240325,0.12300700000000003,1.522195,1.79777,1.42791
89,RHZDFq5c,0.0210339722773752,-1.2665923833847,0.103896103799343,0.123188406229019,1.04868650436401,0.286488,0.06836300000000001,1.214092,1.8556700000000002,1.39869
90,vSzOe8EL,-0.0631416316723939,-1.2665923833847,0.103896103799343,0.123188406229019,1.04868650436401,0.27987199999999995,0.09424300000000008,1.4435680000000002,1.8288200000000001,1.4705700000000002
91,3xFJOZN1,0.647674579458984,-1.25100219249725,-0.0807050094008446,0.0,1.12647950649261,0.267225,0.09341300000000002,1.446305,1.7722,1.46089
92,QPuu0uBA,0.8627900117750591,-1.25100219249725,-0.0807050094008446,0.0,1.12647950649261,0.26003699999999996,0.13371400000000006,1.6517330000000001,1.7477200000000002,1.54035
93,bhh7kfOP,-0.15667008050547,-1.25322937965393,0.0714285746216774,0.0434782616794109,1.21462070941925,0.243418,0.069491,1.2483520000000001,1.84528,1.3437
94,JzdCey87,-0.33437413328831395,-1.25322937965393,0.0714285746216774,0.0434782616794109,1.21462070941925,0.214383,0.116421,1.6047870000000002,1.79214,1.44597
95,bdhW0ctt,0.29226647389329496,-0.74988865852356,-0.24489796161651603,-0.260869562625885,0.5679829716682429,0.30040900000000004,0.106273,1.5631209999999998,1.70723,1.42908
96,5hhEGbrX,0.42320630225960204,-0.74988865852356,-0.24489796161651603,-0.260869562625885,0.5679829716682429,0.29125,0.13176300000000002,1.6098,1.69281,1.45056
97,P0rUSvAu,0.853437166891751,-0.74988865852356,-0.35250464081764205,-0.27536231279373197,0.54957115650177,0.295536,0.06567199999999995,1.457054,1.79873,1.3814899999999999
98,QkcLDuMZ,0.638321734575676,-0.74988865852356,-0.35250464081764205,-0.27536231279373197,0.54957115650177,0.266445,0.092229,1.6988349999999999,1.7729,1.46537
99,TBhEMEkU,0.7879672527085981,-0.7320712804794308,-0.20129869878292103,-0.28260868787765503,0.790419101715088,0.35470999999999997,0.050292,1.4678900000000001,1.61556,1.40921
100,gopYLIAE,-0.26890421910516105,-0.7320712804794308,-0.20129869878292103,-0.28260868787765503,0.790419101715088,0.334579,0.07764199999999999,1.6830110000000003,1.6601099999999998,1.52162
101,Iv3zTPXD,-0.614959479787542,-0.745434284210205,-0.12244898080825802,-0.20289854705333701,0.819752991199493,0.32068,0.06115999999999999,1.5071799999999997,1.9063599999999998,1.4358600000000001
102,IRJdWUjz,0.8160257873585209,-0.745434284210205,-0.12244898080825802,-0.20289854705333701,0.819752991199493,0.276607,0.08651000000000003,1.706733,1.84903,1.52549
103,zv1totIX,-0.119258700972239,-0.74988865852356,-0.324675321578979,-0.369565218687057,0.584130823612213,0.266708,0.06776199999999999,1.595292,1.78627,1.33463
104,oDqn2lei,0.011681127394067,-0.74988865852356,-0.324675321578979,-0.369565218687057,0.584130823612213,0.251368,0.089227,1.7941720000000003,1.7595599999999998,1.45946
105,q0ZIzt76,0.44191199202621706,-0.7587973475456241,-0.38311687111854603,-0.3333333432674411,0.5903180837631229,0.294271,0.09234499999999995,1.6103589999999999,1.80282,1.55855
106,7EeBja1E,0.7224973385254451,-0.7587973475456241,-0.38311687111854603,-0.3333333432674411,0.5903180837631229,0.281514,0.13191399999999998,1.705206,1.8171099999999998,1.66284
107,NCqRZhfI,-0.45596111677131296,-0.747661471366882,-0.0918367356061935,-0.3333333432674411,0.7501528859138492,0.233344,0.06779099999999999,1.5013260000000002,1.74195,1.38573
108,f2JK9WZb,-0.512078186071158,-0.747661471366882,-0.0918367356061935,-0.3333333432674411,0.7501528859138492,0.214455,0.09437699999999999,1.7547049999999997,1.65432,1.50615
109,LLRnP6KX,-0.484019651421235,-0.7610244750976559,-0.20686456561088604,-0.19565217196941398,0.695403158664703,0.278764,0.07812799999999998,1.577056,1.77709,1.47242
110,Vfa8nAB6,-0.43725542700469705,-0.7610244750976559,-0.20686456561088604,-0.19565217196941398,0.695403158664703,0.249423,0.107406,1.763027,1.7776,1.54902
111,i0pgZRYX,0.357736388076448,-0.752115786075592,-0.221706867218018,-0.32608696818351696,0.6805837750434879,0.245202,0.11943800000000002,1.721518,1.7812700000000001,1.50946
112,1SP9aiFj,-0.540136720721081,-0.752115786075592,-0.221706867218018,-0.32608696818351696,0.6805837750434879,0.292412,0.044389999999999985,1.328878,1.8293,1.2721799999999999
113,rRU2y43h,-0.16602292538877697,-0.7610244750976559,-0.356215208768845,-0.297101438045502,0.558875262737274,0.27121799999999996,0.071154,1.458312,1.78272,1.50698
114,03zzaMZR,-1.3164228460356102,-0.7610244750976559,-0.356215208768845,-0.297101438045502,0.558875262737274,0.25162399999999996,0.11074800000000001,1.6807059999999998,1.86611,1.73725
115,Ks8wzqGk,-1.28836431138569,-0.7610244750976559,-0.47588124871253995,-0.28260868787765503,0.608068346977234,0.26627,0.09961500000000001,1.7019,1.8490900000000001,1.54413
116,LvFdnrBQ,-0.46531396165462,-0.7610244750976559,-0.47588124871253995,-0.28260868787765503,0.608068346977234,0.247486,0.10667599999999997,1.790884,1.8560299999999998,1.58325
117,YYAZfHXw,0.0303868171606826,-0.7610244750976559,-0.398886829614639,-0.311594188213348,0.651844322681427,0.267228,0.10287999999999997,1.646552,1.8078599999999998,1.61744
118,hI56UuoF,-0.7552521530371559,-0.7610244750976559,-0.398886829614639,-0.311594188213348,0.651844322681427,0.247021,0.11785500000000004,1.7425190000000002,1.8571400000000002,1.72095
119,82zEhT3x,-0.512078186071158,-0.7610244750976559,-0.243042677640915,-0.28260868787765503,0.660734951496124,0.249854,0.07191300000000003,1.551226,1.7722,1.51735
120,7Pr1uyjN,-0.0631416316723939,-0.7610244750976559,-0.243042677640915,-0.28260868787765503,0.660734951496124,0.274983,0.09729200000000005,1.601227,1.8184799999999999,1.48364
121,2jJLLO64,0.498029061326063,-0.754342973232269,-0.129870131611824,-0.260869562625885,0.580610752105713,0.273073,0.06567299999999998,1.4290569999999998,1.8418400000000001,1.32112
122,FvvRMNQt,0.7505558731753679,-0.754342973232269,-0.129870131611824,-0.260869562625885,0.580610752105713,0.251652,0.084422,1.5548980000000001,1.81605,1.35611
123,8ooLY9Bt,-0.278257063988468,-0.756570160388947,-0.270871996879578,-0.34057971835136397,0.612746238708496,0.277465,0.09887399999999996,1.680335,1.84253,1.69787
124,CWpZnkfL,-0.46531396165462,-0.756570160388947,-0.270871996879578,-0.34057971835136397,0.612746238708496,0.26345599999999997,0.125477,1.7901840000000002,1.8867099999999999,1.8257900000000002
125,Z1uZbeYA,-0.343726978171622,-0.756570160388947,-0.133580699563026,-0.253623187541962,0.6896294355392459,0.274435,0.07923200000000002,1.581365,1.76246,1.55264
126,lp7hy3H3,-0.474666806537928,-0.756570160388947,-0.133580699563026,-0.253623187541962,0.6896294355392459,0.22453,0.11816699999999997,1.7891799999999995,1.78223,1.6579599999999999
127,e0E56iIB,-0.22213999468862303,-0.288864135742188,-0.282003700733185,-0.637681186199188,0.37336105108261103,0.271714,0.04814999999999997,1.305546,1.6580400000000002,1.60324
128,FIaGmwdR,-0.7271936183872341,-0.288864135742188,-0.282003700733185,-0.637681186199188,0.37336105108261103,0.257513,0.05610200000000004,1.374237,1.65193,1.55603
129,aVfPumWH,-1.37253991533546,-0.166369706392288,-0.27365490794181796,-0.601449251174927,0.3883562386035921,0.288529,0.07010900000000003,1.821241,1.8366799999999999,1.6158
130,plm8E88l,-1.44736267440192,-0.166369706392288,-0.27365490794181796,-0.601449251174927,0.3883562386035921,0.277944,0.06731599999999999,1.8609760000000002,1.8377400000000002,1.63121
131,vFKUgYzo,-0.36243266793823703,-0.213140308856964,-0.40074211359024,-0.623188376426697,0.224024459719658,0.304191,0.053261,1.5154490000000003,1.7734400000000001,1.63724
132,1o7wVf31,-0.5962537900209269,-0.213140308856964,-0.40074211359024,-0.623188376426697,0.224024459719658,0.267151,0.06712299999999993,1.6361690000000002,1.7738099999999999,1.59176
133,SHU443XO,-0.886191981403463,-0.179732739925385,-0.0862708687782288,-0.579710125923157,0.291898161172867,0.156274,0.048482,1.4976859999999999,1.74625,1.31618
134,Brjsif8t,-0.42790258212139004,-0.179732739925385,-0.0862708687782288,-0.579710125923157,0.291898161172867,0.132435,0.061668,1.6457249999999999,1.76535,1.32138
135,FEM8NIpT,-0.43725542700469705,-0.28663697838783303,-0.554731011390686,-0.731884062290192,0.11878429353237199,0.281935,0.06339600000000001,1.476485,1.7808099999999998,1.7477
136,6iGjsTvq,-0.23149283957192998,-0.28663697838783303,-0.554731011390686,-0.731884062290192,0.11878429353237199,0.27586900000000003,0.07734299999999994,1.539641,1.77883,1.7670299999999999
137,n0kppWCW,-0.773957842803771,-0.275501102209091,-0.48886826634407,-0.724637687206268,0.186223804950714,0.25496199999999997,0.05740500000000004,1.478668,1.73012,1.69575
138,74N1ywcG,-0.839427756986925,-0.275501102209091,-0.48886826634407,-0.724637687206268,0.186223804950714,0.208137,0.075126,1.5632030000000001,1.67687,1.65855
139,xc99n7CY,-0.69913508373731,-0.25991091132164,-0.426716148853302,-0.673913061618805,0.15926764905452698,0.231553,0.06543900000000002,1.3947470000000002,1.6506599999999998,1.6440599999999999
140,PDgPKtQI,-0.7271936183872341,-0.25991091132164,-0.426716148853302,-0.673913061618805,0.15926764905452698,0.21966599999999997,0.07950500000000005,1.4986439999999999,1.7205599999999999,1.71606
141,YyCZ80jT,-0.15667008050547,-0.24877505004406,-0.493506491184235,-0.6159420013427729,0.28220632672309903,0.287382,0.03930899999999998,1.263258,1.6568,1.5824200000000002
142,YzAS30qi,-0.25019852933854503,-0.24877505004406,-0.493506491184235,-0.6159420013427729,0.28220632672309903,0.257927,0.052807999999999966,1.329913,1.62637,1.5681100000000001
143,1BdbDkli,-0.586900945137619,-0.0951002240180969,-0.192022264003754,-0.536231875419617,0.29870569705963107,0.23869899999999997,0.08533900000000003,1.492001,1.6321700000000001,1.60061
144,gizKbXmr,-0.8487806018702321,-0.0951002240180969,-0.192022264003754,-0.536231875419617,0.29870569705963107,0.247696,0.08686799999999997,1.5836139999999999,1.6427599999999998,1.60874
145,p4tTcdxM,-0.914250516053385,-0.0951002240180969,-0.192022264003754,-0.536231875419617,0.29870569705963107,0.283736,0.042849000000000026,1.3642239999999999,1.6973099999999999,1.52189
146,pzdxsXO1,-0.306315598638391,-0.0951002240180969,-0.192022264003754,-0.536231875419617,0.29870569705963107,0.25539,0.05915799999999999,1.41726,1.6892,1.49806
147,BW35httK,-1.10130741371954,-0.23763920366764102,-0.205936923623085,-0.623188376426697,0.25259333848953197,0.284986,0.065606,1.7141140000000001,1.85368,1.60865
148,zHpDgcLD,-1.4193041397519999,-0.23763920366764102,-0.205936923623085,-0.623188376426697,0.25259333848953197,0.266232,0.07264799999999999,1.888528,1.86552,1.7164400000000002
149,i2x9EYCG,0.264207939243373,-0.0572383068501949,-0.328385889530182,-0.6449275612831121,0.36326608061790505,0.178175,0.062069999999999986,1.500755,1.59674,1.5070700000000001
150,prj0mc05,-0.24084568445523802,-0.0572383068501949,-0.328385889530182,-0.6449275612831121,0.36326608061790505,0.16876300000000002,0.07415599999999997,1.6042669999999999,1.62764,1.55231
151,wPTlBpD6,-0.998426120003154,0.0763919800519943,-0.0148423006758094,-0.6666666865348821,0.588095426559448,0.185607,0.06795400000000004,1.6378929999999998,1.69087,1.63153
152,E8pbsw0l,-1.2041887074359199,0.0763919800519943,-0.0148423006758094,-0.6666666865348821,0.588095426559448,0.196712,0.07809300000000002,1.651638,1.7360400000000002,1.63114
153,dW75Ka6G,-0.278257063988468,0.00289532286114991,-0.294063091278076,-0.6159420013427729,0.4880656003952029,0.22127800000000003,0.06765899999999997,1.482042,1.59059,1.51295
154,rPnLSoSU,-0.484019651421235,0.00289532286114991,-0.294063091278076,-0.6159420013427729,0.4880656003952029,0.19123099999999998,0.08390400000000003,1.6484090000000002,1.64261,1.6437099999999998
155,OcS16oma,0.29226647389329496,-0.059465479105711004,-0.283858984708786,-0.579710125923157,0.40263807773590105,0.189803,0.08155099999999998,1.623477,1.7016799999999999,1.5432
156,cIZDYpml,0.105209576227143,-0.059465479105711004,-0.283858984708786,-0.579710125923157,0.40263807773590105,0.176268,0.08527199999999999,1.6612619999999998,1.672,1.55083
157,WH0qIkEc,-0.24084568445523802,0.0518930964171886,-0.361781090497971,-0.637681186199188,0.698065221309662,0.151653,0.05781,1.634547,1.65343,1.50655
158,VvIIcl8y,-0.278257063988468,0.0518930964171886,-0.361781090497971,-0.637681186199188,0.698065221309662,0.144503,0.065809,1.684427,1.6769,1.53619
159,B3vBnIss,-0.568195255371004,-1.25322937965393,0.17439703643322,-0.47826087474823,1.18135321140289,0.40220300000000003,0.08685399999999993,1.4812569999999998,1.67641,1.4613200000000002
160,AiNV2fn5,-0.259551374221853,-1.25322937965393,0.17439703643322,-0.47826087474823,1.18135321140289,0.40821199999999996,0.07064000000000009,1.4101979999999998,1.6696,1.44721
161,GfY8nu9L,-0.7646049979204641,-1.32004451751709,0.29684600234031705,-0.398550719022751,1.10816061496735,0.27520300000000003,0.07525099999999996,1.675177,1.6447900000000002,1.57693
162,e8KqA5fA,-1.3070700011523,-1.32004451751709,0.29684600234031705,-0.398550719022751,1.10816061496735,0.298016,0.06166100000000002,1.533354,1.6246399999999999,1.5055
163,wE9LHdji,-0.42790258212139004,-1.21759462356567,0.321892380714417,-0.413043469190598,1.1375410556793202,0.216189,0.053285,1.4989010000000003,1.7352900000000002,1.41239
164,xWbwhyz3,-0.7833106876870791,-1.21759462356567,0.321892380714417,-0.413043469190598,1.1375410556793202,0.20706799999999997,0.06645600000000002,1.6224720000000001,1.8042900000000002,1.4592399999999999
165,Asng1brQ,0.264207939243373,-1.2086859941482502,0.22448979318141896,-0.427536219358444,1.2038537263870202,0.29796500000000004,0.04038199999999992,1.424805,1.71721,1.3685
166,95JESRyu,0.0210339722773752,-1.2086859941482502,0.22448979318141896,-0.427536219358444,1.2038537263870202,0.299421,0.045723000000000014,1.556059,1.7329,1.4302700000000002
167,e8765edw,0.6289688896923691,-1.2977728843688998,0.072356216609478,-0.47101449966430703,1.13421225547791,0.252909,0.08055000000000001,1.368341,1.9073900000000001,1.50294
168,zTHQQRHH,0.36708923295975604,-1.2977728843688998,0.072356216609478,-0.47101449966430703,1.13421225547791,0.267285,0.053759999999999974,1.173165,1.8974,1.46071
169,TCa7W4OS,-0.549489565604389,-1.28886413574219,0.21428571641445202,-0.442028999328613,1.08996593952179,0.38204499999999997,0.05524400000000007,1.4528649999999999,1.71766,1.45764
170,WH7kO2rV,-0.989073275119846,-1.28886413574219,0.21428571641445202,-0.442028999328613,1.08996593952179,0.364705,0.07403300000000002,1.693925,1.7792,1.61364
171,58YmfApD,-0.20343430492200698,-1.23095762729645,0.21614100039005302,-0.42028984427452104,1.11551094055176,0.389011,0.045097,1.445749,1.71377,1.48686
172,S3IxmOT1,-0.409196892354775,-1.23095762729645,0.21614100039005302,-0.42028984427452104,1.11551094055176,0.35252,0.06059700000000001,1.6450500000000001,1.71123,1.59956
173,8ujcZd8d,0.03973966204399,-1.2086859941482502,0.22448979318141896,-0.427536219358444,1.2038537263870202,0.372753,0.034389999999999976,1.1214369999999998,1.86001,1.37424
174,dHeWGQVn,-0.25019852933854503,-1.2086859941482502,0.22448979318141896,-0.427536219358444,1.2038537263870202,0.359666,0.04486200000000001,1.325404,1.86517,1.41611
175,KcqhSsm7,0.6196160448090611,-1.32004451751709,0.0918367356061935,-0.550724625587463,1.11899995803833,0.335083,0.07466299999999998,1.345687,1.6944599999999999,1.59274
176,BaPREITn,0.610263199925754,-1.32004451751709,0.0918367356061935,-0.550724625587463,1.11899995803833,0.276968,0.13489600000000002,1.5234619999999999,1.66241,1.60216
177,PHHSsFp9,-0.989073275119846,-1.21091318130493,0.18831168115139,-0.528985500335693,1.0675946474075302,0.259635,0.055913999999999964,1.6437449999999998,1.60627,1.5902399999999999
178,v2rgHWR8,-1.1200131034861498,-1.21091318130493,0.18831168115139,-0.528985500335693,1.0675946474075302,0.249025,0.059147000000000005,1.727655,1.61578,1.67388
179,9msAxLpk,-0.914250516053385,-1.29999995231628,0.146567717194557,-0.44927537441253707,1.08007252216339,0.323633,0.061882999999999966,1.549067,1.74965,1.54862
180,wHdNtEhe,-1.4193041397519999,-1.29999995231628,0.146567717194557,-0.44927537441253707,1.08007252216339,0.311852,0.07426699999999997,1.6657579999999998,1.7761,1.62259
181,ana4nyDW,0.928259925958212,-1.29331851005554,0.22263450920581798,-0.507246375083923,1.02468705177307,0.345682,0.053922000000000025,1.3295279999999998,1.75223,1.40763
182,om1q5cNv,0.36708923295975604,-1.29331851005554,0.22263450920581798,-0.507246375083923,1.02468705177307,0.335019,0.05840899999999999,1.463651,1.7312,1.42319
183,DcPEekec,-0.26890421910516105,-1.32672607898712,-0.213358074426651,-0.536231875419617,1.19014048576355,0.398953,0.030886000000000025,1.0464470000000001,2.0102700000000002,1.43641
184,TDBq7Sb7,-0.278257063988468,-1.32672607898712,-0.213358074426651,-0.536231875419617,1.19014048576355,0.358098,0.05115700000000001,1.117092,2.08035,1.41604
185,s4qMkyEg,0.348383543193141,-1.28218257427216,0.266233772039413,-0.44927537441253707,1.29548919200897,0.360101,0.08990700000000001,1.305659,1.7225599999999999,1.62005
186,ijonrHNN,0.432559147142909,-1.28218257427216,0.266233772039413,-0.44927537441253707,1.29548919200897,0.324448,0.11130599999999996,1.4496319999999998,1.72075,1.6634200000000001
