venue,user,time
5834,1335216,2011-12-08 20:31:03
9373,1335232,2011-12-08 22:51:39
9373,690360,2011-12-08 22:37:11
9373,286315,2011-12-08 22:09:15
9373,1335234,2011-12-08 22:06:35
9373,665843,2011-12-08 22:05:10
9373,1335235,2011-12-08 21:43:48
9373,1335236,2011-12-08 21:29:54
9373,1335237,2011-12-08 21:29:35
9373,1335238,2011-12-08 21:24:56
9373,1335239,2011-12-08 20:51:23
9373,419964,2011-12-08 20:47:43
9373,40430,2011-12-08 20:37:41
451423,650479,2011-12-08 23:24:29
451423,124179,2011-12-08 22:55:06
11492,1335243,2011-12-08 23:25:30
11492,959394,2011-12-08 23:24:18
11492,36351,2011-12-08 23:23:53
11492,812642,2011-12-08 23:23:38
11492,1335244,2011-12-08 23:21:37
11492,398633,2011-12-08 23:20:33
11492,809720,2011-12-08 23:20:31
11492,1335245,2011-12-08 23:20:11
11492,24676,2011-12-08 23:20:10
11492,126274,2011-12-08 23:19:35
11492,65836,2011-12-08 23:19:33
11492,157404,2011-12-08 23:18:50
11492,1335246,2011-12-08 23:18:42
11492,1335247,2011-12-08 23:18:32
11492,1335248,2011-12-08 23:17:30
11492,48519,2011-12-08 23:15:24
11492,1335250,2011-12-08 23:15:02
11492,1335252,2011-12-08 23:14:33
11492,59708,2011-12-08 23:12:39
11492,392691,2011-12-08 23:12:12
11492,374095,2011-12-08 23:11:38
11492,11744,2011-12-08 23:11:38
11492,419987,2011-12-08 23:10:59
11492,872365,2011-12-08 23:09:33
11492,86725,2011-12-08 23:08:42
11492,54752,2011-12-08 23:07:38
11492,56796,2011-12-08 23:06:44
12968,1335254,2011-12-08 23:25:05
11492,1335255,2011-12-08 23:06:11
12968,904075,2011-12-08 23:21:03
12968,733386,2011-12-08 23:13:38
11492,97136,2011-12-08 23:06:03
11492,470353,2011-12-08 23:06:03
12968,1335256,2011-12-08 23:11:59
12968,1335257,2011-12-08 23:10:54
12968,1071589,2011-12-08 23:04:12
12968,1335258,2011-12-08 23:03:36
12968,1335259,2011-12-08 23:00:43
12968,1335260,2011-12-08 22:58:48
12968,1335261,2011-12-08 22:50:07
12968,1335262,2011-12-08 22:48:55
12968,208374,2011-12-08 22:48:38
12968,1185883,2011-12-08 22:35:22
12968,1335263,2011-12-08 22:32:17
12968,1335264,2011-12-08 22:23:43
12968,1335265,2011-12-08 22:22:53
12968,1335266,2011-12-08 22:10:42
12968,1335267,2011-12-08 22:05:41
12968,225635,2011-12-08 22:02:57
12968,1335268,2011-12-08 21:46:13
12968,17154,2011-12-08 21:40:51
12968,1335269,2011-12-08 21:39:11
12968,1335270,2011-12-08 21:32:02
12968,750694,2011-12-08 21:29:55
12968,1335272,2011-12-08 21:19:14
12968,1335273,2011-12-08 21:04:09
12968,936464,2011-12-08 21:04:09
12968,1335274,2011-12-08 20:54:57
12968,1335275,2011-12-08 20:26:18
286817,1335280,2011-12-08 22:35:16
20712,1335288,2011-12-08 20:46:31
198362,545275,2011-12-08 22:04:12
28838,7509,2011-12-08 23:28:48
28838,48057,2011-12-08 23:04:41
17689,213899,2011-12-08 23:28:06
17689,25483,2011-12-08 23:11:37
17689,1335323,2011-12-08 21:23:01
17689,1335324,2011-12-08 21:22:44
17689,1335325,2011-12-08 20:42:51
17689,231100,2011-12-08 20:35:23
12041,33341,2011-12-08 23:10:41
13723,1335369,2011-12-08 21:49:23
834,312223,2011-12-08 23:22:28
7562,891491,2011-12-08 23:09:27
7562,500586,2011-12-08 22:16:46
2421,2912,2011-12-08 23:25:48
2421,122145,2011-12-08 20:50:18
122701,31256,2011-12-08 20:34:56
17689,1335437,2011-12-08 23:31:04
34034,7649,2011-12-08 22:15:36
338704,1066821,2011-12-08 23:36:31
338704,86937,2011-12-08 23:36:00
338704,1335476,2011-12-08 23:34:53
338704,768438,2011-12-08 23:30:47
338704,1335477,2011-12-08 23:20:50
338704,123937,2011-12-08 23:20:35
59504,1335484,2011-12-08 23:07:17
49881,1335485,2011-12-08 23:27:45
49881,1335486,2011-12-08 22:57:17
49881,1141664,2011-12-08 21:55:02
49881,1335487,2011-12-08 20:53:23
49881,1335488,2011-12-08 20:52:17
49881,1335489,2011-12-08 20:41:41
12959,759123,2011-12-08 22:35:33
651228,1335493,2011-12-08 23:14:40
77325,443655,2011-12-08 23:11:15
355262,1335536,2011-12-08 22:08:27
56158,1335566,2011-12-08 23:17:08
833,1335667,2011-12-08 23:32:32
204068,1335669,2011-12-08 22:45:16
1339,1335671,2011-12-08 23:06:26
3066,1335675,2011-12-08 23:34:59
76613,858956,2011-12-08 22:39:08
890566,79719,2011-12-08 23:16:21
106692,1335708,2011-12-08 22:47:58
106692,1335710,2011-12-08 20:58:55
106692,1335711,2011-12-08 20:48:13
114022,1335726,2011-12-08 22:18:25
114022,1335727,2011-12-08 21:40:09
161109,214529,2011-12-08 22:29:28
37306,392691,2011-12-08 23:37:47
37306,1335742,2011-12-08 21:59:23
478481,1335774,2011-12-08 22:33:52
478481,1335776,2011-12-08 22:30:35
6585,1066758,2011-12-08 23:28:08
6585,1335779,2011-12-08 21:40:44
6585,1335782,2011-12-08 21:21:29
158810,1335814,2011-12-08 23:13:39
158810,1335816,2011-12-08 22:35:38
158810,32023,2011-12-08 22:07:56
158810,1335818,2011-12-08 22:03:52
158810,1965,2011-12-08 21:52:32
18347,1335819,2011-12-08 23:31:23
158810,1335820,2011-12-08 21:19:12
21657,63661,2011-12-08 23:42:32
21657,330661,2011-12-08 23:34:45
21657,1335826,2011-12-08 23:30:39
21657,462607,2011-12-08 23:03:53
21657,7569,2011-12-08 22:52:10
21657,219493,2011-12-08 22:45:00
21657,579011,2011-12-08 22:40:20
21657,37548,2011-12-08 22:11:34
21657,1335827,2011-12-08 22:10:34
21657,156038,2011-12-08 22:03:10
21657,1335828,2011-12-08 21:58:55
21657,17025,2011-12-08 21:56:11
21657,312396,2011-12-08 21:23:14
21657,1335830,2011-12-08 21:14:47
21657,1335831,2011-12-08 21:09:01
21657,56206,2011-12-08 20:59:24
21657,752825,2011-12-08 20:54:27
607984,1335834,2011-12-08 23:34:13
286884,548403,2011-12-08 23:43:38
286884,1335838,2011-12-08 23:13:06
286884,174034,2011-12-08 23:11:06
3065,427985,2011-12-08 21:02:02
8465,676634,2011-12-08 23:28:14
8465,1075163,2011-12-08 23:26:36
8465,255856,2011-12-08 22:59:31
219530,1335888,2011-12-08 23:44:34
219530,1335889,2011-12-08 23:42:22
219530,655075,2011-12-08 23:40:21
219530,1335890,2011-12-08 23:11:02
219530,1335891,2011-12-08 22:47:02
219530,1335892,2011-12-08 21:23:05
219530,1335893,2011-12-08 21:05:07
219530,337394,2011-12-08 20:49:09
21929,1193513,2011-12-08 23:35:50
49966,842495,2011-12-08 22:11:29
49966,1335916,2011-12-08 20:47:27
121766,865786,2011-12-08 23:31:16
121766,1335920,2011-12-08 23:27:46
121766,1025902,2011-12-08 22:43:30
121766,428977,2011-12-08 21:46:55
121766,1335921,2011-12-08 20:55:32
309397,1335940,2011-12-08 23:46:33
19766,261762,2011-12-08 23:48:57
19766,1335992,2011-12-08 23:32:37
19766,1335994,2011-12-08 23:08:36
19766,921882,2011-12-08 23:07:57
19766,1335995,2011-12-08 22:55:26
19766,111476,2011-12-08 22:42:11
19766,57236,2011-12-08 22:31:47
19766,1335997,2011-12-08 22:29:53
19766,1335998,2011-12-08 22:19:23
19766,1227143,2011-12-08 21:52:15
19766,1335999,2011-12-08 21:43:14
19766,509953,2011-12-08 21:18:15
19766,1336000,2011-12-08 21:12:31
930,1336001,2011-12-08 23:20:55
331889,1336004,2011-12-08 23:42:46
331889,694729,2011-12-08 23:14:27
331889,82570,2011-12-08 23:05:26
331889,1336005,2011-12-08 21:05:25
7562,1336038,2011-12-08 23:35:13
6590,1336069,2011-12-08 22:24:09
6590,1336075,2011-12-08 22:22:35
6590,404230,2011-12-08 22:20:58
73626,1336114,2011-12-08 23:51:53
73626,6345,2011-12-08 23:26:56
203510,1336136,2011-12-08 21:48:38
27894,1336140,2011-12-08 22:30:40
109681,1336141,2011-12-08 22:05:11
179074,416660,2011-12-08 23:46:52
5834,57676,2011-12-08 23:57:47
519954,1336155,2011-12-08 23:42:43
519954,1049956,2011-12-08 23:31:51
519954,1336158,2011-12-08 23:27:31
312897,400352,2011-12-08 23:15:28
312897,1336192,2011-12-08 23:15:05
312897,1336193,2011-12-08 23:10:12
312897,1336194,2011-12-08 20:56:04
92792,1336195,2011-12-08 23:42:11
92792,1336196,2011-12-08 23:39:57
12968,1336198,2011-12-08 23:53:21
12968,1336200,2011-12-08 23:49:55
12968,647339,2011-12-08 23:43:14
12968,669478,2011-12-08 23:42:47
12968,1336201,2011-12-08 23:40:10
12968,1336202,2011-12-08 23:40:09
12968,988188,2011-12-08 23:34:08
12968,1336203,2011-12-08 23:33:41
12968,1336204,2011-12-08 23:32:09
12968,1336205,2011-12-08 23:31:02
12968,1336206,2011-12-08 23:30:20
40452,1103193,2011-12-08 20:57:03
833,1336226,2011-12-08 23:55:57
10086,464470,2011-12-08 23:19:53
188615,1336232,2011-12-08 23:03:15
55937,1336236,2011-12-08 23:45:20
55937,1317430,2011-12-08 23:04:24
55937,322709,2011-12-08 22:56:52
55937,1336237,2011-12-08 22:55:28
55937,155845,2011-12-08 22:10:45
55937,1336238,2011-12-08 21:51:22
55937,415745,2011-12-08 21:35:13
125346,1336242,2011-12-08 21:37:22
161715,212787,2011-12-08 23:19:10
161715,765773,2011-12-08 23:12:43
161715,1336271,2011-12-08 23:12:25
78465,148100,2011-12-08 21:22:03
101843,213392,2011-12-08 23:54:36
1025,1336320,2011-12-08 23:50:18
1025,608830,2011-12-08 23:23:36
1025,1336321,2011-12-08 23:20:48
7707,936485,2011-12-08 21:31:15
183437,89028,2011-12-08 23:35:28
10050,284853,2011-12-08 23:50:40
454527,75049,2011-12-08 22:12:05
9134,215952,2011-12-08 23:17:42
361268,1336424,2011-12-08 23:25:02
12350,79177,2011-12-08 22:54:16
12350,1115857,2011-12-08 21:09:42
12038,1336438,2011-12-08 23:51:04
12038,1336439,2011-12-08 22:40:06
572305,1336442,2011-12-09 00:01:43
572305,1336443,2011-12-08 23:09:47
572305,1336444,2011-12-08 23:00:26
572305,363335,2011-12-08 22:33:00
572305,1336445,2011-12-08 21:46:36
50722,1336516,2011-12-08 23:54:39
50722,1336517,2011-12-08 23:51:06
50722,1336518,2011-12-08 23:48:41
16145,8573,2011-12-09 00:03:28
16145,168894,2011-12-09 00:02:49
16145,1336531,2011-12-08 23:21:35
16145,1336534,2011-12-08 23:16:31
526220,1336538,2011-12-08 22:50:27
526220,1336541,2011-12-08 21:50:15
526220,1336544,2011-12-08 21:35:48
106693,92115,2011-12-08 23:54:03
106693,508129,2011-12-08 21:28:01
283237,1336625,2011-12-08 23:41:25
283237,880191,2011-12-08 23:38:39
127029,303601,2011-12-08 21:13:37
831666,1336633,2011-12-08 23:56:26
55937,1336637,2011-12-08 23:59:19
18348,1336638,2011-12-08 22:16:15
18348,213627,2011-12-08 21:10:50
18348,1336640,2011-12-08 21:09:16
18348,1336641,2011-12-08 21:08:45
7653,1336644,2011-12-09 00:03:06
28529,294266,2011-12-08 23:31:53
28529,336081,2011-12-08 22:08:19
28529,75416,2011-12-08 21:48:34
101852,122754,2011-12-08 21:18:53
48007,1336732,2011-12-08 23:28:49
129098,218271,2011-12-08 23:28:53
50773,1336756,2011-12-08 23:16:15
50773,1336758,2011-12-08 22:04:52
50773,1336760,2011-12-08 22:01:39
50773,1336761,2011-12-08 21:56:19
50773,1336763,2011-12-08 21:52:16
635059,1336779,2011-12-08 21:10:10
24045,1336794,2011-12-08 23:27:32
269462,1336802,2011-12-08 23:20:51
3317,350669,2011-12-08 22:41:59
3317,662216,2011-12-08 21:16:57
3317,1226225,2011-12-08 21:12:05
32263,213558,2011-12-08 23:39:19
32263,808769,2011-12-08 23:38:22
32263,801372,2011-12-08 21:25:51
78593,778065,2011-12-09 00:03:20
78593,1336808,2011-12-08 23:41:30
78593,1336809,2011-12-08 23:41:26
78593,1336810,2011-12-08 23:04:18
78593,21251,2011-12-08 22:35:23
78593,24455,2011-12-08 21:15:19
132926,336640,2011-12-09 00:02:22
132926,214109,2011-12-08 22:25:29
132792,398643,2011-12-09 00:06:08
132792,84786,2011-12-09 00:00:32
132792,634515,2011-12-09 00:00:22
132792,1336824,2011-12-08 23:57:34
132792,1336825,2011-12-08 23:54:51
132792,7137,2011-12-08 23:39:43
132792,257608,2011-12-08 23:28:05
132792,356022,2011-12-08 22:58:25
132792,215471,2011-12-08 22:56:54
132792,1336826,2011-12-08 22:52:19
132792,1336828,2011-12-08 22:22:27
204939,335736,2011-12-08 23:52:55
158809,1336838,2011-12-09 00:00:37
158809,1336839,2011-12-08 23:29:18
158809,174163,2011-12-08 23:12:45
158809,81374,2011-12-08 22:39:34
158809,792886,2011-12-08 22:35:13
158809,1336841,2011-12-08 22:30:35
158809,353884,2011-12-08 21:16:17
788,1336851,2011-12-09 00:01:51
788,1336852,2011-12-08 23:55:52
788,69824,2011-12-08 23:43:52
788,1336853,2011-12-08 23:28:26
788,1336854,2011-12-08 23:19:01
788,1336856,2011-12-08 23:12:04
788,1336857,2011-12-08 22:47:04
788,786109,2011-12-08 22:31:10
788,500752,2011-12-08 22:28:09
308582,1336865,2011-12-08 21:22:27
122704,1336885,2011-12-08 23:46:50
122704,1336886,2011-12-08 23:36:10
122704,1336887,2011-12-08 23:32:12
122704,234170,2011-12-08 23:25:17
6669,1336888,2011-12-08 23:47:20
9132,1336893,2011-12-08 22:45:49
277056,1169,2011-12-08 22:42:05
83582,308557,2011-12-08 23:48:59
83582,502263,2011-12-08 23:39:35
85407,377445,2011-12-08 23:17:01
85407,501164,2011-12-08 22:34:09
83432,391479,2011-12-08 23:22:13
322822,1336987,2011-12-08 23:28:31
322822,101828,2011-12-08 23:16:41
322822,1336989,2011-12-08 22:34:30
322822,1336990,2011-12-08 22:31:11
22235,1242046,2011-12-09 00:01:43
22235,1336994,2011-12-08 23:56:32
22235,1336996,2011-12-08 23:03:14
10106,1337011,2011-12-08 23:51:28
10106,1337012,2011-12-08 23:09:46
569141,337861,2011-12-08 23:36:21
569141,1337024,2011-12-08 22:28:30
709418,1337046,2011-12-08 23:44:36
62789,1337058,2011-12-08 23:55:35
62789,1337060,2011-12-08 23:42:07
10936,326233,2011-12-09 00:11:00
10936,1335202,2011-12-09 00:09:05
10936,1337070,2011-12-09 00:07:13
10936,1337072,2011-12-09 00:06:44
10936,1337074,2011-12-09 00:01:53
10936,1337076,2011-12-09 00:01:40
10936,749681,2011-12-09 00:00:19
10936,1271145,2011-12-09 00:00:02
10936,192109,2011-12-08 23:59:29
10936,1337077,2011-12-08 23:58:11
10936,1337078,2011-12-08 23:55:06
10936,1337080,2011-12-08 23:55:05
10936,1337082,2011-12-08 23:54:46
10936,1337084,2011-12-08 23:52:20
10936,1337085,2011-12-08 23:49:02
10936,1337087,2011-12-08 23:48:39
10936,1337089,2011-12-08 23:48:27
10936,1337090,2011-12-08 23:48:23
10936,1337091,2011-12-08 23:46:17
10936,1337092,2011-12-08 23:45:21
10936,387932,2011-12-08 23:45:07
10936,1335259,2011-12-08 23:43:24
10936,54276,2011-12-08 23:42:43
10936,104508,2011-12-08 23:42:28
3742,866728,2011-12-09 00:14:11
10936,1337094,2011-12-08 23:40:11
3742,50043,2011-12-08 23:40:33
10936,441060,2011-12-08 23:38:56
3742,1337096,2011-12-08 23:21:27
10936,1337097,2011-12-08 23:37:25
3742,347105,2011-12-08 22:17:09
10936,1337098,2011-12-08 23:35:07
10936,1337100,2011-12-08 23:34:32
10936,1337102,2011-12-08 23:31:48
21646,363201,2011-12-09 00:07:19
21646,959297,2011-12-08 23:47:37
21646,1337123,2011-12-08 23:11:08
131703,196343,2011-12-08 21:25:48
131703,394652,2011-12-08 21:21:55
20678,419027,2011-12-08 23:32:18
49832,78701,2011-12-08 23:26:59
49832,96613,2011-12-08 23:01:51
76609,82965,2011-12-08 23:08:33
49832,1337177,2011-12-08 21:33:29
35096,1337179,2011-12-08 23:49:35
35096,1337183,2011-12-08 23:44:25
35096,1337185,2011-12-08 23:35:50
35096,957510,2011-12-08 23:35:36
35096,318540,2011-12-08 22:28:22
35096,1337188,2011-12-08 22:24:50
35096,1337189,2011-12-08 22:07:04
1343,1337192,2011-12-09 00:05:29
1343,617421,2011-12-08 23:41:55
1343,18263,2011-12-08 23:29:03
1343,1337194,2011-12-08 22:47:34
1343,150851,2011-12-08 21:42:17
1343,1337197,2011-12-08 21:38:46
158808,1337206,2011-12-08 23:15:34
158808,414618,2011-12-08 21:48:23
66962,1337213,2011-12-09 00:15:43
11492,599862,2011-12-09 00:15:50
11492,78761,2011-12-09 00:15:32
11492,48837,2011-12-09 00:12:49
11492,1337220,2011-12-09 00:11:17
11492,1337222,2011-12-09 00:10:39
11492,1337223,2011-12-09 00:09:07
11492,1337226,2011-12-09 00:06:19
11492,1337227,2011-12-09 00:05:47
11492,1337228,2011-12-09 00:04:37
11492,905998,2011-12-09 00:04:11
11492,279606,2011-12-08 23:59:41
11492,85050,2011-12-08 23:58:23
11492,1337229,2011-12-08 23:56:37
11492,1337230,2011-12-08 23:55:07
11492,1337232,2011-12-08 23:54:23
11492,327259,2011-12-08 23:51:23
11492,1337235,2011-12-08 23:51:21
11492,138713,2011-12-08 23:49:19
11492,1166565,2011-12-08 23:47:03
11492,1337236,2011-12-08 23:46:59
11492,1337237,2011-12-08 23:46:16
11492,1337239,2011-12-08 23:45:39
11492,1337241,2011-12-08 23:43:27
11492,384189,2011-12-08 23:43:25
11492,1337243,2011-12-08 23:43:21
11492,1337245,2011-12-08 23:43:14
11492,1337246,2011-12-08 23:42:47
11492,23426,2011-12-08 23:33:26
11492,966771,2011-12-08 23:32:23
11492,1337248,2011-12-08 23:31:49
22533,321072,2011-12-08 23:28:31
951652,720579,2011-12-09 00:16:29
951652,947167,2011-12-09 00:15:32
951652,1337267,2011-12-09 00:14:03
951652,1337269,2011-12-09 00:03:24
951652,1337270,2011-12-08 23:59:33
951652,1337271,2011-12-08 23:51:03
951652,349987,2011-12-08 23:49:53
951652,1337272,2011-12-08 23:41:55
951652,1337273,2011-12-08 23:25:31
951652,1126731,2011-12-08 22:38:28
951652,1337274,2011-12-08 22:32:32
951652,1337276,2011-12-08 22:23:18
507248,152219,2011-12-08 21:41:14
951652,1337278,2011-12-08 22:00:06
512193,600035,2011-12-09 00:06:44
512193,413894,2011-12-08 23:54:12
512193,1337284,2011-12-08 23:24:36
512193,1337286,2011-12-08 22:59:43
77343,1337292,2011-12-08 21:41:57
5325,683877,2011-12-08 23:13:43
782,479805,2011-12-09 00:16:11
782,501546,2011-12-09 00:15:39
782,1060415,2011-12-09 00:14:34
782,1337303,2011-12-09 00:13:55
782,1337305,2011-12-09 00:13:05
782,1337307,2011-12-09 00:12:51
782,95360,2011-12-09 00:12:01
782,1074514,2011-12-09 00:11:59
782,1337310,2011-12-09 00:11:44
782,39730,2011-12-09 00:11:37
782,335013,2011-12-09 00:11:33
782,1337312,2011-12-09 00:11:00
782,4922,2011-12-09 00:10:47
782,567984,2011-12-09 00:10:43
782,1337316,2011-12-09 00:09:48
782,294223,2011-12-09 00:09:44
782,1072974,2011-12-09 00:08:28
782,1337317,2011-12-09 00:07:12
782,1337318,2011-12-09 00:06:09
782,101326,2011-12-09 00:05:57
782,83745,2011-12-09 00:05:49
782,1019789,2011-12-09 00:05:49
782,498339,2011-12-09 00:05:27
782,454089,2011-12-09 00:05:21
782,779482,2011-12-09 00:05:17
782,1337320,2011-12-09 00:04:47
782,1337322,2011-12-09 00:04:44
782,1292818,2011-12-09 00:03:28
782,1337326,2011-12-09 00:03:09
782,40286,2011-12-09 00:02:36
837,1337336,2011-12-09 00:07:34
837,48968,2011-12-08 23:34:00
837,292001,2011-12-08 22:58:26
292210,1015922,2011-12-08 23:22:04
23139,296499,2011-12-09 00:13:00
3317,76964,2011-12-09 00:17:00
3317,1337347,2011-12-09 00:16:34
41822,89735,2011-12-09 00:12:03
41822,1337353,2011-12-08 23:30:57
11492,1337360,2011-12-09 00:18:56
104847,105993,2011-12-09 00:10:37
104847,260729,2011-12-08 23:36:53
104847,94662,2011-12-08 23:18:56
11492,1337383,2011-12-08 23:30:08
29572,296884,2011-12-09 00:19:14
29572,822076,2011-12-08 23:44:54
29572,209750,2011-12-08 23:39:12
29572,347493,2011-12-08 23:38:49
29572,311778,2011-12-08 23:07:23
29572,355040,2011-12-08 22:58:08
29572,135666,2011-12-08 22:51:57
566250,1337403,2011-12-09 00:06:39
28838,561216,2011-12-08 23:57:38
28838,249010,2011-12-08 23:38:54
28838,970487,2011-12-08 23:29:22
5834,277522,2011-12-09 00:06:04
151527,236756,2011-12-08 23:53:33
151527,8597,2011-12-08 22:52:26
151527,1337409,2011-12-08 22:18:45
255126,1337413,2011-12-08 23:46:39
244699,49555,2011-12-09 00:04:33
22412,291317,2011-12-08 22:15:12
12968,333026,2011-12-09 00:16:32
12968,151556,2011-12-09 00:10:07
12968,1337424,2011-12-09 00:09:03
12968,978326,2011-12-09 00:06:23
166750,193964,2011-12-09 00:01:47
12968,865786,2011-12-09 00:04:59
166750,780160,2011-12-08 23:21:16
12968,153943,2011-12-09 00:01:24
166750,1337427,2011-12-08 22:42:27
12968,1337429,2011-12-09 00:00:42
166750,952757,2011-12-08 22:42:21
3956,1165069,2011-12-09 00:07:56
13110,366559,2011-12-09 00:16:11
13110,1337457,2011-12-09 00:15:46
13110,151212,2011-12-08 23:43:49
13110,257880,2011-12-08 23:28:19
13110,1337460,2011-12-08 23:14:13
13110,1326130,2011-12-08 23:00:42
13110,1337461,2011-12-08 22:55:55
13110,1337464,2011-12-08 22:44:47
94836,1202360,2011-12-08 23:12:40
94836,1337469,2011-12-08 22:44:58
905206,349298,2011-12-08 23:53:01
55362,1337493,2011-12-08 23:21:15
179075,278852,2011-12-08 23:18:02
1339,1337565,2011-12-09 00:08:29
1339,273090,2011-12-08 23:48:12
52418,100341,2011-12-08 23:02:41
26452,1337592,2011-12-09 00:17:06
26452,507707,2011-12-09 00:12:22
26452,255829,2011-12-09 00:05:18
351645,294029,2011-12-08 22:21:56
28531,1337633,2011-12-09 00:20:18
791,1337634,2011-12-09 00:20:19
28531,81137,2011-12-09 00:09:12
791,1337635,2011-12-09 00:12:31
28531,1337636,2011-12-08 23:56:41
28531,1337638,2011-12-08 23:42:57
28531,103356,2011-12-08 23:37:45
257537,1337660,2011-12-08 23:15:57
257537,1337662,2011-12-08 21:52:46
25522,1078637,2011-12-09 00:09:10
25522,1337688,2011-12-08 23:42:11
25522,296936,2011-12-08 23:24:38
17689,1337691,2011-12-09 00:23:47
17689,1337692,2011-12-09 00:14:55
252406,1337693,2011-12-08 23:22:47
17689,1337694,2011-12-09 00:08:18
252406,1337695,2011-12-08 23:12:32
17689,1337696,2011-12-09 00:07:48
252406,1337697,2011-12-08 23:11:58
17689,1337698,2011-12-09 00:05:57
252406,1337699,2011-12-08 21:24:56
17689,1337700,2011-12-09 00:05:17
17689,1337701,2011-12-09 00:03:41
17689,1337703,2011-12-08 23:46:25
17689,1337705,2011-12-08 23:40:52
48817,362636,2011-12-08 23:49:44
77346,262032,2011-12-08 23:53:20
63923,1016207,2011-12-08 23:54:29
307855,1337772,2011-12-09 00:23:34
86412,1337774,2011-12-09 00:12:55
354136,298406,2011-12-08 22:50:35
10122,1337778,2011-12-09 00:07:46
60883,1337779,2011-12-08 23:45:48
60883,1337780,2011-12-08 23:45:38
28833,1337781,2011-12-09 00:07:58
28833,913498,2011-12-08 23:06:50
89469,1337787,2011-12-08 23:09:35
89469,1225338,2011-12-08 23:06:27
89469,486555,2011-12-08 22:57:31
89469,1337788,2011-12-08 22:03:07
9373,1337835,2011-12-09 00:21:13
9373,32485,2011-12-09 00:07:23
9373,1337836,2011-12-08 23:59:09
1023,846362,2011-12-09 00:26:08
1023,1337848,2011-12-09 00:21:05
1023,1337850,2011-12-08 23:20:10
48881,1337852,2011-12-09 00:06:55
48881,938719,2011-12-08 23:27:05
48881,1337855,2011-12-08 23:15:39
48881,1337858,2011-12-08 23:09:56
48881,1149546,2011-12-08 22:49:38
48881,73971,2011-12-08 22:46:57
48881,1337860,2011-12-08 22:45:30
48881,1337862,2011-12-08 22:43:41
48881,1337863,2011-12-08 22:03:50
48881,1337864,2011-12-08 21:29:39
29778,1099332,2011-12-08 22:58:04
438605,17192,2011-12-09 00:20:54
11492,1337921,2011-12-09 00:27:57
11492,1337922,2011-12-09 00:27:39
11492,1248190,2011-12-09 00:26:31
11492,1337923,2011-12-09 00:25:30
11492,196016,2011-12-09 00:25:03
11492,31073,2011-12-09 00:24:20
11492,193784,2011-12-09 00:23:27
11492,401220,2011-12-09 00:23:04
11492,18553,2011-12-09 00:22:31
11492,189661,2011-12-09 00:21:57
1009635,80625,2011-12-08 23:28:42
10126,1055478,2011-12-09 00:17:13
501576,501508,2011-12-09 00:20:23
15221,1337956,2011-12-09 00:06:39
15221,369246,2011-12-09 00:05:23
15221,336527,2011-12-09 00:01:12
15221,32722,2011-12-08 23:54:44
11492,1337965,2011-12-09 00:29:49
11492,1337966,2011-12-09 00:29:37
998,399045,2011-12-09 00:02:08
998,408715,2011-12-08 23:55:43
55937,272426,2011-12-09 00:10:30
392274,1337968,2011-12-08 22:53:47
392274,86340,2011-12-08 21:35:27
392274,1337970,2011-12-08 21:30:31
663303,554169,2011-12-08 22:38:59
25368,1338004,2011-12-08 22:56:23
